id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
22,42uRc,https://find47.jp/ja/i/42uRc,https://find47.jp/en/i/42uRc,https://find47.jp/ja/i/42uRc/image_file,https://find47.jp/ja/i/42uRc/image_file?type=thumb,富士山とスカイツリー,"Mt. Fuji and Tokyo Skytree, View from I-link Town Observatory Chiba",12,千葉県,Chiba,市川市,Ichikawa City,,,https://creativecommons.org/licenses/by/4.0/,,3652,7669,E91396926864395831,,,,,,,,,
23,Dhnyk,https://find47.jp/ja/i/Dhnyk,https://find47.jp/en/i/Dhnyk,https://find47.jp/ja/i/Dhnyk/image_file,https://find47.jp/ja/i/Dhnyk/image_file?type=thumb,市川市民納涼花火大会,Ichikawa fireworks festival Chiba,12,千葉県,Chiba,市川市,Ichikawa City,,,https://creativecommons.org/licenses/by/4.0/,,1649,5143,E91396926864395831,,,,,,,,,
169,YP0MW,https://find47.jp/ja/i/YP0MW,https://find47.jp/en/i/YP0MW,https://find47.jp/ja/i/YP0MW/image_file,https://find47.jp/ja/i/YP0MW/image_file?type=thumb,市川市動植物園の新緑,Fresh verdure at Ichikawa Zoo Chiba,12,千葉県,Chiba,moja,moja,https://app.find47.jp/ja/u/0LfUa,https://app.find47.jp/en/u/0LfUa,https://creativecommons.org/licenses/by/4.0/,,458,3467,E91396962319888472,SONY ILCE-7RM2,2017-06-17 13:41:24 +0900,125,1/50,-0.3,5.0,Sony FE 70-300mm F4.5-5.6 G OSS,Manual,144 mm
170,omk1Q,https://find47.jp/ja/i/omk1Q,https://find47.jp/en/i/omk1Q,https://find47.jp/ja/i/omk1Q/image_file,https://find47.jp/ja/i/omk1Q/image_file?type=thumb,二つの日本一,Japanese Symbol Chiba,12,千葉県,Chiba,moja,moja,https://app.find47.jp/ja/u/0LfUa,https://app.find47.jp/en/u/0LfUa,https://creativecommons.org/licenses/by/4.0/,,1649,4019,E91396926864633491,SONY ILCE-7RM2,2017-02-02 17:49:20 +0900,160,1/10,0,5.6,Sony FE 70-300mm F4.5-5.6 G OSS,Auto,168 mm
171,XL3FE,https://find47.jp/ja/i/XL3FE,https://find47.jp/en/i/XL3FE,https://find47.jp/ja/i/XL3FE/image_file,https://find47.jp/ja/i/XL3FE/image_file?type=thumb,夕暮れ時の東京,Tokyo at dusk Chiba,12,千葉県,Chiba,moja,moja,https://app.find47.jp/ja/u/0LfUa,https://app.find47.jp/en/u/0LfUa,https://creativecommons.org/licenses/by/4.0/,,1123,4313,E91396926864399479,SONY ILCE-7RM2,2017-09-18 17:11:36 +0900,100,1/320,0,8.0,Sony FE 70-300mm F4.5-5.6 G OSS,Manual,195 mm
1180,8pw7L,https://find47.jp/ja/i/8pw7L,https://find47.jp/en/i/8pw7L,https://find47.jp/ja/i/8pw7L/image_file,https://find47.jp/ja/i/8pw7L/image_file?type=thumb,大山千枚田,"Rice terraces, Oyama Chiba",12,千葉県,Chiba,Akiko_Kubosawa,Akiko_Kubosawa,https://app.find47.jp/ja/u/XAMIa,https://app.find47.jp/en/u/XAMIa,https://creativecommons.org/licenses/by/4.0/,,139,2261,E91393996113125251,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2017-12-30 07:55:31 +0900,200,1/200,-1,10.0,HD PENTAX-DA 20-40mm F2.8-4 Limited,Manual,30 mm
1290,ZCCVO,https://find47.jp/ja/i/ZCCVO,https://find47.jp/en/i/ZCCVO,https://find47.jp/ja/i/ZCCVO/image_file,https://find47.jp/ja/i/ZCCVO/image_file?type=thumb,千葉　いすみ市の津々ヶ浦,Tiba   Tutugaura in Isumi city Chiba,12,千葉県,Chiba,T-KIMURA,T-KIMURA,https://app.find47.jp/ja/u/ugvpk,https://app.find47.jp/en/u/ugvpk,https://creativecommons.org/licenses/by/4.0/,,170,2214,E92174229444698829,Canon Canon EOS 7D,2017-11-05 14:20:52 +0900,400,1/400,0,14.0,EF-S17-85mm f/4-5.6 IS USM,Manual Temperature (Kelvin),22.0mm
1920,lo3fm,https://find47.jp/ja/i/lo3fm,https://find47.jp/en/i/lo3fm,https://find47.jp/ja/i/lo3fm/image_file,https://find47.jp/ja/i/lo3fm/image_file?type=thumb,醤油の街の秋,  Autumn in the town of soy sauce Chiba,12,千葉県,Chiba,The-nature_77,The-nature_77,https://app.find47.jp/ja/u/3ieG4,https://app.find47.jp/en/u/3ieG4,https://creativecommons.org/licenses/by/4.0/,,206,1297,E91399322544722537,SIGMA　DP３,2019-11-14 20:11:13 +0900,100,,,,,,
1973,qJJSc,https://find47.jp/ja/i/qJJSc,https://find47.jp/en/i/qJJSc,https://find47.jp/ja/i/qJJSc/image_file,https://find47.jp/ja/i/qJJSc/image_file?type=thumb,arigatou,Hello Chiba,12,千葉県,Chiba,hien_le34,hien_le34,https://app.find47.jp/ja/u/m4uxC,https://app.find47.jp/en/u/m4uxC,https://creativecommons.org/licenses/by/4.0/,,171,1141,E92174155635292966,Panasonic DMC-GM1,2015-01-24 16:02:37 +0900,200,1/12800,0,2.5,LUMIX G 20/F1.7 II,Auto,41 mm
2038,9Fhps,https://find47.jp/ja/i/9Fhps,https://find47.jp/en/i/9Fhps,https://find47.jp/ja/i/9Fhps/image_file,https://find47.jp/ja/i/9Fhps/image_file?type=thumb,屛風ヶ浦を臨む,Viewing the creek Byobugaura Chiba,12,千葉県,Chiba,KazuyoYakushiji,KazuyoYakushiji,https://app.find47.jp/ja/u/01ZCm,https://app.find47.jp/en/u/01ZCm,https://creativecommons.org/licenses/by/4.0/,,79,1116,E92175724235825363,Canon Canon EOS 5D Mark III,2019-11-05 13:39:53 +0900,100,1/1000,0,5.6,EF70-300mm f/4-5.6 IS II USM,Manual,
2197,awWCV,https://find47.jp/ja/i/awWCV,https://find47.jp/en/i/awWCV,https://find47.jp/ja/i/awWCV/image_file,https://find47.jp/ja/i/awWCV/image_file?type=thumb,江川海岸,Egawa coast Chiba,12,千葉県,Chiba,Akiko_Kubosawa,Akiko_Kubosawa,https://app.find47.jp/ja/u/XAMIa,https://app.find47.jp/en/u/XAMIa,https://creativecommons.org/licenses/by/4.0/,,89,1326,E91396386848918996,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2020-03-20 17:43:54 +0900,100,0.3,0,32.0,smc PENTAX-D FA MACRO 100mm F2.8 WR,Manual,150 mm
2198,BK8zJ,https://find47.jp/ja/i/BK8zJ,https://find47.jp/en/i/BK8zJ,https://find47.jp/ja/i/BK8zJ/image_file,https://find47.jp/ja/i/BK8zJ/image_file?type=thumb,江川海岸,Egawa coast Chiba,12,千葉県,Chiba,Akiko_Kubosawa,Akiko_Kubosawa,https://app.find47.jp/ja/u/XAMIa,https://app.find47.jp/en/u/XAMIa,https://creativecommons.org/licenses/by/4.0/,,61,1053,E91396386848918996,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2020-03-20 17:56:28 +0900,100,5,0,29.0,smc PENTAX-D FA MACRO 100mm F2.8 WR,Manual,150 mm
2200,Rrx3d,https://find47.jp/ja/i/Rrx3d,https://find47.jp/en/i/Rrx3d,https://find47.jp/ja/i/Rrx3d/image_file,https://find47.jp/ja/i/Rrx3d/image_file?type=thumb,菜の花といすみ鉄道,Isumi Railway in Spring Chiba,12,千葉県,Chiba,Akiko_Kubosawa,Akiko_Kubosawa,https://app.find47.jp/ja/u/XAMIa,https://app.find47.jp/en/u/XAMIa,https://creativecommons.org/licenses/by/4.0/,,118,969,E92174163931754389,"RICOH IMAGING COMPANY, LTD. RICOH GR III",2020-03-20 12:09:24 +0900,100,1/1600,0,2.8,,Auto,28 mm
2203,K1oB0,https://find47.jp/ja/i/K1oB0,https://find47.jp/en/i/K1oB0,https://find47.jp/ja/i/K1oB0/image_file,https://find47.jp/ja/i/K1oB0/image_file?type=thumb,春のいすみ鉄道,Isumi Railway in Spring Chiba,12,千葉県,Chiba,Akiko_Kubosawa,Akiko_Kubosawa,https://app.find47.jp/ja/u/XAMIa,https://app.find47.jp/en/u/XAMIa,https://creativecommons.org/licenses/by/4.0/,,163,1107,E92174163931754389,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2020-03-20 11:36:17 +0900,100,1/1000,+1,2.8,smc PENTAX-D FA MACRO 100mm F2.8 WR,Manual,150 mm
