id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
19,MIFrW,https://find47.jp/ja/i/MIFrW,https://find47.jp/en/i/MIFrW,https://find47.jp/ja/i/MIFrW/image_file,https://find47.jp/ja/i/MIFrW/image_file?type=thumb,赤谷湖 鯉のぼり,"Carp Streamers, Akaya Lake Gunma",10,群馬県,Gunma,松田 大介,Daisuke Matsuda,,,https://creativecommons.org/licenses/by/4.0/,,2265,6365,E91632228314581486,,,,,,,,,
20,1WwaF,https://find47.jp/ja/i/1WwaF,https://find47.jp/en/i/1WwaF,https://find47.jp/ja/i/1WwaF/image_file,https://find47.jp/ja/i/1WwaF/image_file?type=thumb,真沢の森 棚田,"Rice Terrace, Sanazawanomori Gunma",10,群馬県,Gunma,みなかみ町,Minakami Town,,,https://creativecommons.org/licenses/by/4.0/,,1328,2578,E91632235434575954,,,,,,,,,
679,3cGjM,https://find47.jp/ja/i/3cGjM,https://find47.jp/en/i/3cGjM,https://find47.jp/ja/i/3cGjM/image_file,https://find47.jp/ja/i/3cGjM/image_file?type=thumb,尾瀬,OZE Gunma,10,群馬県,Gunma,ridge-SR,ridge-SR,https://app.find47.jp/ja/u/4y6nl,https://app.find47.jp/en/u/4y6nl,https://creativecommons.org/licenses/by/4.0/,,278,2479,E91632633488964414,,,,,,,,,
821,9861m,https://find47.jp/ja/i/9861m,https://find47.jp/en/i/9861m,https://find47.jp/ja/i/9861m/image_file,https://find47.jp/ja/i/9861m/image_file?type=thumb,覚満淵の秋,Fall of Kakumanbuchi  Gunma,10,群馬県,Gunma,koichi_hayakawa,Koichi_Hayakawa,https://app.find47.jp/ja/u/ZIyiS,https://app.find47.jp/en/u/ZIyiS,https://creativecommons.org/licenses/by/4.0/,,360,3171,E91398964555544125,Canon Canon EOS 80D,2018-10-08 05:39:43 +0900,400,0.4,+2/3,4.0,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016,Auto,26mm
829,3lPlJ,https://find47.jp/ja/i/3lPlJ,https://find47.jp/en/i/3lPlJ,https://find47.jp/ja/i/3lPlJ/image_file,https://find47.jp/ja/i/3lPlJ/image_file?type=thumb,紅葉の尾瀬,Autumn leaves Oze Gunma,10,群馬県,Gunma,suzuhiro,suzuhiro,https://app.find47.jp/ja/u/8ofEJ,https://app.find47.jp/en/u/8ofEJ,https://creativecommons.org/licenses/by/4.0/,,305,1248,E91632389934671844,nikkon D5300,2018年10月7日,,,,,AF-S Nikkor 18-300m,,
1367,B2sIQ,https://find47.jp/ja/i/B2sIQ,https://find47.jp/en/i/B2sIQ,https://find47.jp/ja/i/B2sIQ/image_file,https://find47.jp/ja/i/B2sIQ/image_file?type=thumb,上発知の枝垂れ桜,Weeping cherry blossoms Gunma,10,群馬県,Gunma,MitsunoriEgawa,MitsunoriEgawa,https://app.find47.jp/ja/u/5Dy8Q,https://app.find47.jp/en/u/5Dy8Q,https://creativecommons.org/licenses/by/4.0/,,298,1047,E91632318619245543,Canon Canon EOS 5D Mark II,2014-04-26 15:29:01 +0900,160,1/320,-2/3,8.0,70-300mm,Manual,
1368,w50bl,https://find47.jp/ja/i/w50bl,https://find47.jp/en/i/w50bl,https://find47.jp/ja/i/w50bl/image_file,https://find47.jp/ja/i/w50bl/image_file?type=thumb,一ノ倉沢　モルゲンロート,Morgenrot Gunma,10,群馬県,Gunma,iwashi,iwashi,https://app.find47.jp/ja/u/MzFLK,https://app.find47.jp/en/u/MzFLK,https://creativecommons.org/licenses/by/4.0/,,199,1971,E91632291581473719,NIKON CORPORATION NIKON Z 6,2018-11-24 06:35:47 +0900,200,1/200,0,4.0,NIKON NIKKOR Z 24-70mm f/4 S,Auto,30 mm
1426,OnpUe,https://find47.jp/ja/i/OnpUe,https://find47.jp/en/i/OnpUe,https://find47.jp/ja/i/OnpUe/image_file,https://find47.jp/ja/i/OnpUe/image_file?type=thumb,草津温泉のもみ湯,The hot spring of Kusatsu hot spring Gunma,10,群馬県,Gunma,kage1128,kage1128,https://app.find47.jp/ja/u/T8JUK,https://app.find47.jp/en/u/T8JUK,https://creativecommons.org/licenses/by/4.0/,,323,926,E91398776625968378,Canon Power Shot G7X MarkⅡ,2017/3/19,125,1/40,0,1/40,,自動,13.32mm
1677,oTfRD,https://find47.jp/ja/i/oTfRD,https://find47.jp/en/i/oTfRD,https://find47.jp/ja/i/oTfRD/image_file,https://find47.jp/ja/i/oTfRD/image_file?type=thumb,ノゾリキスゲ咲き乱れる天空の湖,"Lake near the sky, Lake Nozori, Gunma pref. Gunma",10,群馬県,Gunma,Michio_Matsuoka,Michio_Matsuoka,https://app.find47.jp/ja/u/MjWGB,https://app.find47.jp/en/u/MjWGB,https://creativecommons.org/licenses/by/4.0/,,311,1865,E91632125566383791,PENTAX K-1 Mark Ⅱ,2019/07/28,100,1/400,0,F8,HD PENTAX-D FA15-30㎜ F2.8 ED SDM WR,太陽,30㎜
1679,WNHdo,https://find47.jp/ja/i/WNHdo,https://find47.jp/en/i/WNHdo,https://find47.jp/ja/i/WNHdo/image_file,https://find47.jp/ja/i/WNHdo/image_file?type=thumb,"ノゾリキスゲ咲き乱れる天空の湖 ""野反湖""","Lake near the sky, Lake Nozori, Gunma pref. Gunma",10,群馬県,Gunma,Michio_Matsuoka,Michio_Matsuoka,https://app.find47.jp/ja/u/MjWGB,https://app.find47.jp/en/u/MjWGB,https://creativecommons.org/licenses/by/4.0/,,157,1673,E91632122998475118,PENTAX K-1 Mark Ⅱ,2019/07/28,200,1/100,0,f/8,HD PENTAX-D FA24-70㎜ F2.8 ED SDM WR,曇り,45㎜
1691,5fhHn,https://find47.jp/ja/i/5fhHn,https://find47.jp/en/i/5fhHn,https://find47.jp/ja/i/5fhHn/image_file,https://find47.jp/ja/i/5fhHn/image_file?type=thumb,チャツボミゴケ公園,Chatsubomigoke park Gunma,10,群馬県,Gunma,Michio_Matsuoka,Michio_Matsuoka,https://app.find47.jp/ja/u/MjWGB,https://app.find47.jp/en/u/MjWGB,https://creativecommons.org/licenses/by/4.0/,,96,813,E91398779656711584,PENTAX K-1 Mark II,2019/7/28,100,5秒,-1.3,f/8,HD PENTAX-D FA24-70㎜ F2.8 ED SDM WR（MARUMI EXUS ND1000フィルター使用）,マニュアル,48.0㎜
1699,QR6Xo,https://find47.jp/ja/i/QR6Xo,https://find47.jp/en/i/QR6Xo,https://find47.jp/ja/i/QR6Xo/image_file,https://find47.jp/ja/i/QR6Xo/image_file?type=thumb,チャツボミゴケ公園,Chatsubomigoke park Gunma,10,群馬県,Gunma,Michio_Matsuoka,Michio_Matsuoka,https://app.find47.jp/ja/u/MjWGB,https://app.find47.jp/en/u/MjWGB,https://creativecommons.org/licenses/by/4.0/,,63,1468,E91398779656711584,PENTAX K-1 Mark II,2019/7/28,100,25秒,-0.7,f/11,HD PENTAX-D FA24-70㎜ F2.8 ED SDM WR（MARUMI EXUS ND1000フィルター使用）,マニュアル,24.0㎜
1700,kpLkR,https://find47.jp/ja/i/kpLkR,https://find47.jp/en/i/kpLkR,https://find47.jp/ja/i/kpLkR/image_file,https://find47.jp/ja/i/kpLkR/image_file?type=thumb,チャツボミゴケ公園,Chatsubomigoke park Gunma,10,群馬県,Gunma,Michio_Matsuoka,Michio_Matsuoka,https://app.find47.jp/ja/u/MjWGB,https://app.find47.jp/en/u/MjWGB,https://creativecommons.org/licenses/by/4.0/,,41,1492,E91398779656711584,PENTAX K-1 Mark II,2019/7/28,100,15秒,-0.3,f/8,HD PENTAX-D FA24-70㎜ F2.8 ED SDM WR（MARUMI EXUS ND1000フィルター使用）,マニュアル,43㎜
1702,UXjkO,https://find47.jp/ja/i/UXjkO,https://find47.jp/en/i/UXjkO,https://find47.jp/ja/i/UXjkO/image_file,https://find47.jp/ja/i/UXjkO/image_file?type=thumb,チャツボミゴケ公園,Chatsubomigoke park Gunma,10,群馬県,Gunma,Michio_Matsuoka,Michio_Matsuoka,https://app.find47.jp/ja/u/MjWGB,https://app.find47.jp/en/u/MjWGB,https://creativecommons.org/licenses/by/4.0/,,49,1558,E91398779656711584,PENTAX K-1 Mark II,2019/7/28,100,8秒,0,f/8,HD PENTAX-D FA24-70㎜ F2.8 ED SDM WR（MARUMI EXUS ND1000フィルター使用）,マニュアル,58.0㎜
2025,oC6eN,https://find47.jp/ja/i/oC6eN,https://find47.jp/en/i/oC6eN,https://find47.jp/ja/i/oC6eN/image_file,https://find47.jp/ja/i/oC6eN/image_file?type=thumb,日の出(渋峠),Sunrise (Shibu Toge) Gunma,10,群馬県,Gunma,koichi_hayakawa,Koichi_Hayakawa,https://app.find47.jp/ja/u/ZIyiS,https://app.find47.jp/en/u/ZIyiS,https://creativecommons.org/licenses/by/4.0/,,210,1368,E91398777897945821,Canon Canon EOS 80D,2019-09-07 05:34:41 +0900,100,1/60,0,11.0,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016,Custom,18mm
2127,u4MQg,https://find47.jp/ja/i/u4MQg,https://find47.jp/en/i/u4MQg,https://find47.jp/ja/i/u4MQg/image_file,https://find47.jp/ja/i/u4MQg/image_file?type=thumb,谷川岳,Mt.Tanigata Gunma,10,群馬県,Gunma,iwashi,iwashi,https://app.find47.jp/ja/u/MzFLK,https://app.find47.jp/en/u/MzFLK,https://creativecommons.org/licenses/by/4.0/,,87,588,E91632291141184144,NIKON CORPORATION NIKON Z 6,2020-02-15 12:49:29 +0900,200,1/6400,0,8.0,NIKON NIKKOR Z 24-70mm f/4 S,Auto,40 mm
2267,XXbjX,https://find47.jp/ja/i/XXbjX,https://find47.jp/en/i/XXbjX,https://find47.jp/ja/i/XXbjX/image_file,https://find47.jp/ja/i/XXbjX/image_file?type=thumb,逆さ赤城山,Mt. AKAGI Gunma,10,群馬県,Gunma,GENESIS,GENESIS,https://app.find47.jp/ja/u/wtofS,https://app.find47.jp/en/u/wtofS,https://creativecommons.org/licenses/by/4.0/,potw,139,886,E91398956976891346,NIKON CORPORATION NIKON Z 6,2019-12-30 14:43:58 +0900,100,1/160,+2/3,7.1,NIKON NIKKOR Z 14-30mm f/4 S,Auto,21 mm
2771,iGLwt,https://find47.jp/ja/i/iGLwt,https://find47.jp/en/i/iGLwt,https://find47.jp/ja/i/iGLwt/image_file,https://find47.jp/ja/i/iGLwt/image_file?type=thumb,芳ケ平の夜明け(中之条町),Dawn of Yoshigadaira (Nakanojo Town) Gunma,10,群馬県,Gunma,koichi_hayakawa,Koichi_Hayakawa,https://app.find47.jp/ja/u/ZIyiS,https://app.find47.jp/en/u/ZIyiS,https://creativecommons.org/licenses/by/4.0/,,99,628,E91398778472954818,Canon Canon EOS 80D,2019-09-07 06:08:50 +0900,100,1/80,-2/3,8.0,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016,Custom,16mm
3241,P0ak6,https://find47.jp/ja/i/P0ak6,https://find47.jp/en/i/P0ak6,https://find47.jp/ja/i/P0ak6/image_file,https://find47.jp/ja/i/P0ak6/image_file?type=thumb,草津温泉の湯畑,Kusatsu Onsen in Gunma Prefecture Gunma,10,群馬県,Gunma,Yasuyuki_Kawano,Yasuyuki_Kawano,https://app.find47.jp/ja/u/hB2HX,https://app.find47.jp/en/u/hB2HX,https://creativecommons.org/licenses/by/4.0/,,41,166,E91398776625999718,Canon Canon EOS 5D Mark II,2021-01-02 15:27:21 +0900,800,1/100,0,11.0,EF17-40mm f/4L USM,Auto,
3315,6UinK,https://find47.jp/ja/i/6UinK,https://find47.jp/en/i/6UinK,https://find47.jp/ja/i/6UinK/image_file,https://find47.jp/ja/i/6UinK/image_file?type=thumb,土合駅,Doai Station Gunma,10,群馬県,Gunma,Yasuyuki_Kawano,Yasuyuki_Kawano,https://app.find47.jp/ja/u/hB2HX,https://app.find47.jp/en/u/hB2HX,https://creativecommons.org/licenses/by/4.0/,,21,150,E91632292211218822,Canon Canon EOS 5D Mark II,2021-02-20 15:56:25 +0900,100,15,0,11.0,EF17-40mm f/4L USM,Auto,
3316,2Z3LZ,https://find47.jp/ja/i/2Z3LZ,https://find47.jp/en/i/2Z3LZ,https://find47.jp/ja/i/2Z3LZ/image_file,https://find47.jp/ja/i/2Z3LZ/image_file?type=thumb,赤城山　氷結した大沼の夕焼け,Frozen Onuma Lake Gunma,10,群馬県,Gunma,Yasuyuki_Kawano,Yasuyuki_Kawano,https://app.find47.jp/ja/u/hB2HX,https://app.find47.jp/en/u/hB2HX,https://creativecommons.org/licenses/by/4.0/,,30,123,E91398964768756675,Canon Canon EOS 5D Mark II,2021-02-21 17:04:58 +0900,100,1/40,0,11.0,EF24-105mm f/4L IS USM,Auto,
3532,fRoXN,https://find47.jp/ja/i/fRoXN,https://find47.jp/en/i/fRoXN,https://find47.jp/ja/i/fRoXN/image_file,https://find47.jp/ja/i/fRoXN/image_file?type=thumb,伊香保温泉 石段街,Ikaho Hot spring Gunma,10,群馬県,Gunma,ShuichiNakayama,ShuichiNakayama,https://app.find47.jp/ja/u/he3NQ,https://app.find47.jp/en/u/he3NQ,https://creativecommons.org/licenses/by/4.0/,,118,26,E91398829852878425,Apple iPhone 8,2019-02-10 15:33:52 +0900,20,1/1700,0,1.8,iPhone 8 back camera 3.99mm f/1.8,,
3622,lpDdc,https://find47.jp/ja/i/lpDdc,https://find47.jp/en/i/lpDdc,https://find47.jp/ja/i/lpDdc/image_file,https://find47.jp/ja/i/lpDdc/image_file?type=thumb,繋がる場所,Connecting Spot Gunma,10,群馬県,Gunma,F_Photo,F_Photo,https://app.find47.jp/ja/u/5kBeN,https://app.find47.jp/en/u/5kBeN,https://creativecommons.org/licenses/by/4.0/,potw,20,8,E91399455517587915,SONY ILCE-7RM2,2021-07-11 18:17:17 +0900,100,1/50,0,1.8,DT 50mm F1.8 SAM,Auto,50 mm
