id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
79,6ld9y,https://find47.jp/ja/i/6ld9y,https://find47.jp/en/i/6ld9y,https://find47.jp/ja/i/6ld9y/image_file,https://find47.jp/ja/i/6ld9y/image_file?type=thumb,つづら棚田と彼岸花,Tsuzura Rice Terrace and Cluster Amaryllis Fukuoka,40,福岡県,Fukuoka,うきは市,Ukiha City,,,https://creativecommons.org/licenses/by/4.0/,,1280,2402,E91256538234673849,,,,,,,,,
80,PNymQ,https://find47.jp/ja/i/PNymQ,https://find47.jp/en/i/PNymQ,https://find47.jp/ja/i/PNymQ/image_file,https://find47.jp/ja/i/PNymQ/image_file?type=thumb,初夏のつづら棚田,Tsuzura Rice Terrace in an Early Summer Fukuoka,40,福岡県,Fukuoka,うきは市,Ukiha City,,,https://creativecommons.org/licenses/by/4.0/,,1772,5817,E91256538234673849,,,,,,,,,
191,vo5zQ,https://find47.jp/ja/i/vo5zQ,https://find47.jp/en/i/vo5zQ,https://find47.jp/ja/i/vo5zQ/image_file,https://find47.jp/ja/i/vo5zQ/image_file?type=thumb,姉子の浜,beach of anego Fukuoka,40,福岡県,Fukuoka,TsuruSho7,TsuruSho7,https://app.find47.jp/ja/u/7zY8m,https://app.find47.jp/en/u/7zY8m,https://creativecommons.org/licenses/by/4.0/,,434,3509,E91255834527279758,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2017-08-06 14:47:19 +0900,200,1/500,0,10.0,smc PENTAX-DA 18-135mm F3.5-5.6 ED AL[IF] DC WR,Auto,172 mm
192,xewpq,https://find47.jp/ja/i/xewpq,https://find47.jp/en/i/xewpq,https://find47.jp/ja/i/xewpq/image_file,https://find47.jp/ja/i/xewpq/image_file?type=thumb,筑後川昇開橋,Chikugo River Lift bridge Fukuoka,40,福岡県,Fukuoka,TsuruSho7,TsuruSho7,https://app.find47.jp/ja/u/7zY8m,https://app.find47.jp/en/u/7zY8m,https://creativecommons.org/licenses/by/4.0/,,407,3754,E91255633344981828,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2017-08-10 19:56:41 +0900,800,8,0,11.0,smc PENTAX-DA 18-135mm F3.5-5.6 ED AL[IF] DC WR,Auto,42 mm
514,JSwdQ,https://find47.jp/ja/i/JSwdQ,https://find47.jp/en/i/JSwdQ,https://find47.jp/ja/i/JSwdQ/image_file,https://find47.jp/ja/i/JSwdQ/image_file?type=thumb,福岡の夜景,Night view in Fukuoka Fukuoka,40,福岡県,Fukuoka,Yudai_photography,Yudai_photography,https://app.find47.jp/ja/u/jjFeU,https://app.find47.jp/en/u/jjFeU,https://creativecommons.org/licenses/by/4.0/,,854,4479,E91255965912844968,"RICOH IMAGING COMPANY, LTD. PENTAX K-1",2017-03-24 22:49:04 +0900,200,20,-0.3,11.0,,Auto,70 mm
1364,k7aj4,https://find47.jp/ja/i/k7aj4,https://find47.jp/en/i/k7aj4,https://find47.jp/ja/i/k7aj4/image_file,https://find47.jp/ja/i/k7aj4/image_file?type=thumb,姉子の浜,Anekonohama-Beach Fukuoka,40,福岡県,Fukuoka,MitsunoriEgawa,MitsunoriEgawa,https://app.find47.jp/ja/u/5Dy8Q,https://app.find47.jp/en/u/5Dy8Q,https://creativecommons.org/licenses/by/4.0/,,354,897,E91255834524789195,Canon Canon EOS 5D Mark II,2015-08-15 11:50:45 +0900,100,1/500,+1/3,2.8,28-75mm,Manual,
2003,NCrM7,https://find47.jp/ja/i/NCrM7,https://find47.jp/en/i/NCrM7,https://find47.jp/ja/i/NCrM7/image_file,https://find47.jp/ja/i/NCrM7/image_file?type=thumb,雪灯り,Snow light Fukuoka,40,福岡県,Fukuoka,A_umezaki,A_umezaki,https://app.find47.jp/ja/u/7PxMD,https://app.find47.jp/en/u/7PxMD,https://creativecommons.org/licenses/by/4.0/,potw,329,1563,E91256746957427221,Canon Canon EOS 5D Mark III,2016-01-23 18:36:03 +0900,4000,1/160,0,2.2,sigma 24mm F1.4 DG HSM,Auto,
2454,5mVVw,https://find47.jp/ja/i/5mVVw,https://find47.jp/en/i/5mVVw,https://find47.jp/ja/i/5mVVw/image_file,https://find47.jp/ja/i/5mVVw/image_file?type=thumb,別格本山鎮国寺、秋の装い,"Chinkokuji Temple, Autumn Outfit Fukuoka",40,福岡県,Fukuoka,KayaharaAyako,KayaharaAyako,https://app.find47.jp/ja/u/iGu9o,https://app.find47.jp/en/u/iGu9o,https://creativecommons.org/licenses/by/4.0/,,684,900,E91259156817697534,,,,,,,,,
2785,vZQkQ,https://find47.jp/ja/i/vZQkQ,https://find47.jp/en/i/vZQkQ,https://find47.jp/ja/i/vZQkQ/image_file,https://find47.jp/ja/i/vZQkQ/image_file?type=thumb,筑前大島、海と夢の小夜島,"Chikuzen Oshima, the beatiful sea and the Yumenosayoshima Fukuoka",40,福岡県,Fukuoka,KayaharaAyako,KayaharaAyako,https://app.find47.jp/ja/u/iGu9o,https://app.find47.jp/en/u/iGu9o,https://creativecommons.org/licenses/by/4.0/,,81,559,E91259176257586863,,,,,,,,,
2786,7shqo,https://find47.jp/ja/i/7shqo,https://find47.jp/en/i/7shqo,https://find47.jp/ja/i/7shqo/image_file,https://find47.jp/ja/i/7shqo/image_file?type=thumb,筑前大島、海と夢の小夜島,"Chikuzen Oshima, the beatiful sea and the Yumenosayoshima Fukuoka",40,福岡県,Fukuoka,KayaharaAyako,KayaharaAyako,https://app.find47.jp/ja/u/iGu9o,https://app.find47.jp/en/u/iGu9o,https://creativecommons.org/licenses/by/4.0/,,179,592,E91259176257586863,,,,,,,,,
