id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
94,Vr5ws,https://find47.jp/ja/i/Vr5ws,https://find47.jp/en/i/Vr5ws,https://find47.jp/ja/i/Vr5ws/image_file,https://find47.jp/ja/i/Vr5ws/image_file?type=thumb,別府の湯けむり,Smoky Steam of Beppu Hot Springs Oita,44,大分県,Oita,別府市,Beppu City,,,https://creativecommons.org/licenses/by/4.0/,,1351,5758,E91264529542654798,,,,,,,,,
95,Z0KMD,https://find47.jp/ja/i/Z0KMD,https://find47.jp/en/i/Z0KMD,https://find47.jp/ja/i/Z0KMD/image_file,https://find47.jp/ja/i/Z0KMD/image_file?type=thumb,田ノ浦ビーチ,Tanoura Beach Oita,44,大分県,Oita,大分市,Oita City,,,https://creativecommons.org/licenses/by/4.0/,,1027,4308,E91264534931723156,,,,,,,,,
96,vToZs,https://find47.jp/ja/i/vToZs,https://find47.jp/en/i/vToZs,https://find47.jp/ja/i/vToZs/image_file,https://find47.jp/ja/i/vToZs/image_file?type=thumb,ななせ火群まつり,Nanase Homura Festival Oita,44,大分県,Oita,大分市,Oita City,,,https://creativecommons.org/licenses/by/4.0/,,799,4578,E91264295985215467,,,,,,,,,
179,Gf17c,https://find47.jp/ja/i/Gf17c,https://find47.jp/en/i/Gf17c,https://find47.jp/ja/i/Gf17c/image_file,https://find47.jp/ja/i/Gf17c/image_file?type=thumb,緑の世界,Green world Oita,44,大分県,Oita,TsuruSho7,TsuruSho7,https://app.find47.jp/ja/u/7zY8m,https://app.find47.jp/en/u/7zY8m,https://creativecommons.org/licenses/by/4.0/,,1175,4805,E91264521875215616,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2017-08-10 14:17:49 +0900,200,0.3,-0.7,9.0,smc PENTAX-DA 18-135mm F3.5-5.6 ED AL[IF] DC WR,Auto,36 mm
232,HBuMp,https://find47.jp/ja/i/HBuMp,https://find47.jp/en/i/HBuMp,https://find47.jp/ja/i/HBuMp/image_file,https://find47.jp/ja/i/HBuMp/image_file?type=thumb,慈恩の滝,Waterfall of jion Oita,44,大分県,Oita,TsuruSho7,TsuruSho7,https://app.find47.jp/ja/u/7zY8m,https://app.find47.jp/en/u/7zY8m,https://creativecommons.org/licenses/by/4.0/,,485,3222,E91256638213621839,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2017-08-10 12:20:16 +0900,800,1/6000,0,4.0,smc PENTAX-DA 18-135mm F3.5-5.6 ED AL[IF] DC WR,Auto,36 mm
1346,ttHs8,https://find47.jp/ja/i/ttHs8,https://find47.jp/en/i/ttHs8,https://find47.jp/ja/i/ttHs8/image_file,https://find47.jp/ja/i/ttHs8/image_file?type=thumb,真玉海岸（日本の夕景１００選）,Sunset at Matama Beach Oita,44,大分県,Oita,RyotaFuno,RyotaFuno,https://app.find47.jp/ja/u/H6hwl,https://app.find47.jp/en/u/H6hwl,https://creativecommons.org/licenses/by/4.0/,,197,1738,E91264882126182933,SONY NEX-7,2019-02-07 05:31:37 +0900,100,1/4000,0,F1.4,Voigtländer 40mmF1.4,Auto,0 mm
1774,CHDhf,https://find47.jp/ja/i/CHDhf,https://find47.jp/en/i/CHDhf,https://find47.jp/ja/i/CHDhf/image_file,https://find47.jp/ja/i/CHDhf/image_file?type=thumb,竹田市 白水ダム,HAKUSUI　Dam Oita,44,大分県,Oita,Shiro_KUROGI,Shiro_KUROGI,https://app.find47.jp/ja/u/CPMpv,https://app.find47.jp/en/u/CPMpv,https://creativecommons.org/licenses/by/4.0/,qa,953,1924,E91261792983614195,FUJIFILM X-E2,2019-09-03 12:21:03 +0900,400,1/750,0,6.4,FUJIFILM XF55-200mmF3.5-4.8 R LM OIS,Auto,83 mm
2601,NlUvN,https://find47.jp/ja/i/NlUvN,https://find47.jp/en/i/NlUvN,https://find47.jp/ja/i/NlUvN/image_file,https://find47.jp/ja/i/NlUvN/image_file?type=thumb,八幡奈多宮の元宮、市杵島と朝日,"Ichikishima, the former shrine of HachimanNadagu and rising sun Oita",44,大分県,Oita,KayaharaAyako,KayaharaAyako,https://app.find47.jp/ja/u/iGu9o,https://app.find47.jp/en/u/iGu9o,https://creativecommons.org/licenses/by/4.0/,,1223,969,E91264684977297281,,,,,,,,,
2859,EBdVN,https://find47.jp/ja/i/EBdVN,https://find47.jp/en/i/EBdVN,https://find47.jp/ja/i/EBdVN/image_file,https://find47.jp/ja/i/EBdVN/image_file?type=thumb,国宝臼杵石仏 / ホキ石仏第二群,"Usuki Stone Buddhas, a national treasure / Hoki Second Cluster Oita",44,大分県,Oita,KayaharaAyako,KayaharaAyako,https://app.find47.jp/ja/u/iGu9o,https://app.find47.jp/en/u/iGu9o,https://creativecommons.org/licenses/by/4.0/,,106,473,E91264356676848236,,,,,,,,,
2860,vTIyG,https://find47.jp/ja/i/vTIyG,https://find47.jp/en/i/vTIyG,https://find47.jp/ja/i/vTIyG/image_file,https://find47.jp/ja/i/vTIyG/image_file?type=thumb,国宝臼杵石仏 / ホキ石仏第二群,"Usuki Stone Buddhas, a national treasure / Hoki Second Cluster Oita",44,大分県,Oita,KayaharaAyako,KayaharaAyako,https://app.find47.jp/ja/u/iGu9o,https://app.find47.jp/en/u/iGu9o,https://creativecommons.org/licenses/by/4.0/,,35,457,E91264356676848236,,,,,,,,,
2861,2poLQ,https://find47.jp/ja/i/2poLQ,https://find47.jp/en/i/2poLQ,https://find47.jp/ja/i/2poLQ/image_file,https://find47.jp/ja/i/2poLQ/image_file?type=thumb,国宝臼杵石仏 / 古園石仏（ふるぞのせきぶつ）,"Usuki Stone Buddhas, a national treasure / Furuzono Cluster Oita",44,大分県,Oita,KayaharaAyako,KayaharaAyako,https://app.find47.jp/ja/u/iGu9o,https://app.find47.jp/en/u/iGu9o,https://creativecommons.org/licenses/by/4.0/,,32,479,E91264356676848236,,,,,,,,,
2862,TQOUl,https://find47.jp/ja/i/TQOUl,https://find47.jp/en/i/TQOUl,https://find47.jp/ja/i/TQOUl/image_file,https://find47.jp/ja/i/TQOUl/image_file?type=thumb,国宝臼杵石仏 / 古園石仏（ふるぞのせきぶつ）,"Usuki Stone Buddhas, a national treasure / Furuzono Cluster Oita",44,大分県,Oita,KayaharaAyako,KayaharaAyako,https://app.find47.jp/ja/u/iGu9o,https://app.find47.jp/en/u/iGu9o,https://creativecommons.org/licenses/by/4.0/,,74,448,E91264356676848236,,,,,,,,,
3271,9j0D5,https://find47.jp/ja/i/9j0D5,https://find47.jp/en/i/9j0D5,https://find47.jp/ja/i/9j0D5/image_file,https://find47.jp/ja/i/9j0D5/image_file?type=thumb,役目を終え、朽ち、尚も鎮座する機関庫,"An engine warehouse that has finished its role, has decayed, and is still enshrined  Oita",44,大分県,Oita,Hiroki_Hieda,Hiroki_Hieda,https://app.find47.jp/ja/u/yqg2v,https://app.find47.jp/en/u/yqg2v,https://creativecommons.org/licenses/by/4.0/,qa,124,167,E91264418675214715,OLYMPUS CORPORATION PEN-F,2020-12-06 10:09:21 +0900,200,1/125,0,9.0,OLYMPUS M.12mm F2.0 Ltd Blk,Manual,24 mm
4720,pavdh,https://find47.jp/ja/i/pavdh,https://find47.jp/en/i/pavdh,https://find47.jp/ja/i/pavdh/image_file,https://find47.jp/ja/i/pavdh/image_file?type=thumb,旧豊後森機関庫,Former Bungo-Mori Roundhouse Oita,44,大分県,Oita,kiki_1313,kiki_1313,https://app.find47.jp/ja/u/u3f6e,https://app.find47.jp/en/u/u3f6e,https://creativecommons.org/licenses/by/4.0/,,11,9,E91264418675312122,,,,,,,,,
4725,7ohN5,https://find47.jp/ja/i/7ohN5,https://find47.jp/en/i/7ohN5,https://find47.jp/ja/i/7ohN5/image_file,https://find47.jp/ja/i/7ohN5/image_file?type=thumb,秋ひまわり（大分県久住高原）,Autumn Sunflowers :Kujyu high land in Oita Oita,44,大分県,Oita,daisymind,daisymind,https://app.find47.jp/ja/u/zrJ82,https://app.find47.jp/en/u/zrJ82,https://creativecommons.org/licenses/by/4.0/,,0,0,E91264152329474887,Canon Canon PowerShot S90,2010-09-25 10:57:19 +0900,125,1/500,0,5.6,,Auto,
