id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
24,fH0hJ,https://find47.jp/ja/i/fH0hJ,https://find47.jp/en/i/fH0hJ,https://find47.jp/ja/i/fH0hJ/image_file,https://find47.jp/ja/i/fH0hJ/image_file?type=thumb,小石川後楽園,Koishikawa Korakuen Garden Tokyo,13,東京都,Tokyo,公益財団法人 東京都公園協会,Tokyo Metropolitan Park Association,,,https://creativecommons.org/licenses/by/4.0/,,2198,2916,E91396833985454763,,,,,,,,,
159,4URl2,https://find47.jp/ja/i/4URl2,https://find47.jp/en/i/4URl2,https://find47.jp/ja/i/4URl2/image_file,https://find47.jp/ja/i/4URl2/image_file?type=thumb,開花,Blooming Tokyo,13,東京都,Tokyo,r_abe01,r_abe01,https://app.find47.jp/ja/u/DOgBB,https://app.find47.jp/en/u/DOgBB,https://creativecommons.org/licenses/by/4.0/,,1230,3834,E91396836979262877,NIKON CORPORATION NIKON D90,2010-03-27 09:36:03 +0900,200,1/1000,-2/3,4.5,17.0-70.0 mm f/2.8-4.5,Manual,105 mm
215,54F97,https://find47.jp/ja/i/54F97,https://find47.jp/en/i/54F97,https://find47.jp/ja/i/54F97/image_file,https://find47.jp/ja/i/54F97/image_file?type=thumb,提灯,Chōchin Tokyo,13,東京都,Tokyo,tutu,tutu,https://app.find47.jp/ja/u/aewvK,https://app.find47.jp/en/u/aewvK,https://creativecommons.org/licenses/by/4.0/,,330,1620,E91396915297359312,Canon Canon EOS 5D Mark II,2009-10-27 15:22:08 +0900,200,1/500,0,8.0,EF17-40mm f/4L USM,Auto,
230,cVikh,https://find47.jp/ja/i/cVikh,https://find47.jp/en/i/cVikh,https://find47.jp/ja/i/cVikh/image_file,https://find47.jp/ja/i/cVikh/image_file?type=thumb,都庁からの展望,The Tokyo Metropolitan Government Tokyo,13,東京都,Tokyo,TsuruSho7,TsuruSho7,https://app.find47.jp/ja/u/7zY8m,https://app.find47.jp/en/u/7zY8m,https://creativecommons.org/licenses/by/4.0/,,999,4062,E91396831616663282,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2017-11-05 17:08:19 +0900,800,1/10,0,3.2,HD PENTAX-DA 21mm F3.2 ED AL Limited,Auto,31 mm
392,Xj1XX,https://find47.jp/ja/i/Xj1XX,https://find47.jp/en/i/Xj1XX,https://find47.jp/ja/i/Xj1XX/image_file,https://find47.jp/ja/i/Xj1XX/image_file?type=thumb,天使のはしご,Angel's ladder Tokyo,13,東京都,Tokyo,SUN,SUN,https://app.find47.jp/ja/u/mnM9Z,https://app.find47.jp/en/u/mnM9Z,https://creativecommons.org/licenses/by/4.0/,,928,2120,E91396831616663282,NIKON CORPORATION NIKON D750,2015-09-20 16:55:03 +0900,100,1/320,0,8.0,AF-S NIKKOR 24-120mm f/4G ED VR,Auto1,50 mm
394,6rAle,https://find47.jp/ja/i/6rAle,https://find47.jp/en/i/6rAle,https://find47.jp/ja/i/6rAle/image_file,https://find47.jp/ja/i/6rAle/image_file?type=thumb,マジックアワー,Magic Hour Tokyo,13,東京都,Tokyo,SUN,SUN,https://app.find47.jp/ja/u/mnM9Z,https://app.find47.jp/en/u/mnM9Z,https://creativecommons.org/licenses/by/4.0/,,378,1686,E91396761235776723,NIKON CORPORATION NIKON D750,2017-04-15 18:31:14 +0900,100,1/8,-1,8.0,AF-S NIKKOR 24-70mm f/2.8E ED VR,Auto1,34 mm
422,E7TS9,https://find47.jp/ja/i/E7TS9,https://find47.jp/en/i/E7TS9,https://find47.jp/ja/i/E7TS9/image_file,https://find47.jp/ja/i/E7TS9/image_file?type=thumb,Skytree,Skytree Tokyo,13,東京都,Tokyo,asilly,asilly,https://app.find47.jp/ja/u/eQ0C4,https://app.find47.jp/en/u/eQ0C4,https://creativecommons.org/licenses/by/4.0/,,1822,4896,E91396915373843651,Canon Canon EOS Kiss X9i,2018-02-11 19:47:41 +0900,100,15,0,5.0,EF-S10-18mm f/4.5-5.6 IS STM,Auto,
530,6h3fv,https://find47.jp/ja/i/6h3fv,https://find47.jp/en/i/6h3fv,https://find47.jp/ja/i/6h3fv/image_file,https://find47.jp/ja/i/6h3fv/image_file?type=thumb,新宿副都心,Shinjuku Tokyo,13,東京都,Tokyo,tmano,tmano,https://app.find47.jp/ja/u/OMibF,https://app.find47.jp/en/u/OMibF,https://creativecommons.org/licenses/by/4.0/,,396,1533,E91396831553881845,,,,,,,,,
584,rW1V2,https://find47.jp/ja/i/rW1V2,https://find47.jp/en/i/rW1V2,https://find47.jp/ja/i/rW1V2/image_file,https://find47.jp/ja/i/rW1V2/image_file?type=thumb,渋谷センター街交差点,shibuya center steet Tokyo,13,東京都,Tokyo,tmano,tmano,https://app.find47.jp/ja/u/OMibF,https://app.find47.jp/en/u/OMibF,https://creativecommons.org/licenses/by/4.0/,,951,3495,E91396598176771879,PENTAX RICOH IMAGING GR,2013-06-07 18:40:44 +0900,800,1/40,+1,4.0,PENTAX RICOH IMAGING GR LENS,Multi-P Auto,35 mm
1114,ukmYn,https://find47.jp/ja/i/ukmYn,https://find47.jp/en/i/ukmYn,https://find47.jp/ja/i/ukmYn/image_file,https://find47.jp/ja/i/ukmYn/image_file?type=thumb,駒形橋からの景色,A view from Komagata Bridge Tokyo,13,東京都,Tokyo,gondawara,gondawara,https://app.find47.jp/ja/u/4zbJi,https://app.find47.jp/en/u/4zbJi,https://creativecommons.org/licenses/by/4.0/,,283,2038,E91396915235838994,NIKON CORPORATION NIKON D7500,2018-10-24 16:39:28 +0900,100,1/80,-1/3,8.0,TAMRON 10-24mm F3.5-4.5 DiII VC HLD B023N,Manual,30 mm
