id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
9,A5yVy,https://find47.jp/ja/i/A5yVy,https://find47.jp/en/i/A5yVy,https://find47.jp/ja/i/A5yVy/image_file,https://find47.jp/ja/i/A5yVy/image_file?type=thumb,史跡尾去沢鉱山,Osarizawa Mine Akita,5,秋田県,Akita,鹿角市,Kazuno City,,,https://creativecommons.org/licenses/by/4.0/,,2124,5745,E92445717246816791,,,,,,,,,
566,ra1fv,https://find47.jp/ja/i/ra1fv,https://find47.jp/en/i/ra1fv,https://find47.jp/ja/i/ra1fv/image_file,https://find47.jp/ja/i/ra1fv/image_file?type=thumb,宝仙湖の夏,Summer of Hosenko Lake Akita,5,秋田県,Akita,ShozzaTrip,ShozzaTrip,https://app.find47.jp/ja/u/wIpJC,https://app.find47.jp/en/u/wIpJC,https://creativecommons.org/licenses/by/4.0/,,388,1530,E92444389381637251,OLYMPUS CORPORATION E-M10MarkII,2017-08-26 13:21:21 +0900,200,1/400,0,10.0,OLYMPUS M.14-42mm F3.5-5.6 EZ,Manual,
568,k6VqZ,https://find47.jp/ja/i/k6VqZ,https://find47.jp/en/i/k6VqZ,https://find47.jp/ja/i/k6VqZ/image_file,https://find47.jp/ja/i/k6VqZ/image_file?type=thumb,田沢湖の夕暮れ,Mistic Sunset of Lake Tazawa Akita,5,秋田県,Akita,ShozzaTrip,ShozzaTrip,https://app.find47.jp/ja/u/wIpJC,https://app.find47.jp/en/u/wIpJC,https://creativecommons.org/licenses/by/4.0/,,343,1600,E92444353356754712,OLYMPUS CORPORATION E-M10MarkII,2017-08-25 18:43:10 +0900,1600,1/40,0,4.0,OLYMPUS M.14-42mm F3.5-5.6 EZ,Manual,
574,5e8eE,https://find47.jp/ja/i/5e8eE,https://find47.jp/en/i/5e8eE,https://find47.jp/ja/i/5e8eE/image_file,https://find47.jp/ja/i/5e8eE/image_file?type=thumb,米どころ秋田,Rice Field of Akita Akita,5,秋田県,Akita,ShozzaTrip,ShozzaTrip,https://app.find47.jp/ja/u/wIpJC,https://app.find47.jp/en/u/wIpJC,https://creativecommons.org/licenses/by/4.0/,potw,590,1739,E92444151372673444,OLYMPUS CORPORATION E-M10MarkII,2017-08-26 16:27:25 +0900,200,1/250,0,7.1,OLYMPUS M.14-42mm F3.5-5.6 EZ,Manual,
828,Il8az,https://find47.jp/ja/i/Il8az,https://find47.jp/en/i/Il8az,https://find47.jp/ja/i/Il8az/image_file,https://find47.jp/ja/i/Il8az/image_file?type=thumb,宮城県　秋の鳴子峡,"Naruko  Gorge in  autumn,   Miyagi　prefecture Akita",5,秋田県,Akita,T-KIMURA,T-KIMURA,https://app.find47.jp/ja/u/ugvpk,https://app.find47.jp/en/u/ugvpk,https://creativecommons.org/licenses/by/4.0/,,276,2735,E92441353213358432,Canon Canon EOS 7D,2015-10-24 14:20:56 +0900,800,1/250,-1/3,11.0,EF-S17-85mm f/4-5.6 IS USM,Auto,17.0mm
1253,0D3uE,https://find47.jp/ja/i/0D3uE,https://find47.jp/en/i/0D3uE,https://find47.jp/ja/i/0D3uE/image_file,https://find47.jp/ja/i/0D3uE/image_file?type=thumb,元滝伏流水,Mototaki Under-flow Water Akita,5,秋田県,Akita,wataru_95s,wataru_95s,https://app.find47.jp/ja/u/GMkTV,https://app.find47.jp/en/u/GMkTV,https://creativecommons.org/licenses/by/4.0/,,124,1038,E91663632798174276,Canon Canon EOS 40D,2019-03-20 10:43:13 +0900,100,1/250,0,5.0,EF-S18-55mm f/3.5-5.6 IS STM,,
1551,rJeJG,https://find47.jp/ja/i/rJeJG,https://find47.jp/en/i/rJeJG,https://find47.jp/ja/i/rJeJG/image_file,https://find47.jp/ja/i/rJeJG/image_file?type=thumb,旅の終わり,The End of The Journey Akita,5,秋田県,Akita,Yoshiro,Yoshiro,https://app.find47.jp/ja/u/X4O6m,https://app.find47.jp/en/u/X4O6m,https://creativecommons.org/licenses/by/4.0/,potw,182,909,E91666565479754682,SONY ILCE-7M3,2019-05-02 18:30:23 +0900,100,1/200,-0.7,8.0,24mm F1.4 DG HSM | Art 018,Manual,24 mm
2396,lFNN0,https://find47.jp/ja/i/lFNN0,https://find47.jp/en/i/lFNN0,https://find47.jp/ja/i/lFNN0/image_file,https://find47.jp/ja/i/lFNN0/image_file?type=thumb,秋田　田沢湖畔,Akita   Tazawa  shore Akita,5,秋田県,Akita,T-KIMURA,T-KIMURA,https://app.find47.jp/ja/u/ugvpk,https://app.find47.jp/en/u/ugvpk,https://creativecommons.org/licenses/by/4.0/,,78,820,E92444365224375784,Canon Canon EOS 7D,2015-10-22 08:56:09 +0900,800,1/640,0,16.0,EF-S10-22mm f/3.5-4.5 USM,Auto,
2397,RbC3s,https://find47.jp/ja/i/RbC3s,https://find47.jp/en/i/RbC3s,https://find47.jp/ja/i/RbC3s/image_file,https://find47.jp/ja/i/RbC3s/image_file?type=thumb,秋田　田沢湖,Akita　Tazawako Akita,5,秋田県,Akita,T-KIMURA,T-KIMURA,https://app.find47.jp/ja/u/ugvpk,https://app.find47.jp/en/u/ugvpk,https://creativecommons.org/licenses/by/4.0/,,96,838,E92444327842978661,Canon Canon EOS 7D,2015-10-22 09:18:53 +0900,800,1/400,0,14.0,EF-S17-85mm f/4-5.6 IS USM,Auto,
2398,rW9AZ,https://find47.jp/ja/i/rW9AZ,https://find47.jp/en/i/rW9AZ,https://find47.jp/ja/i/rW9AZ/image_file,https://find47.jp/ja/i/rW9AZ/image_file?type=thumb,秋田　田沢湖畔　御座石神社の鳥居,Akita　Tazawa shore　Torii at Gozaisi shrine Akita,5,秋田県,Akita,T-KIMURA,T-KIMURA,https://app.find47.jp/ja/u/ugvpk,https://app.find47.jp/en/u/ugvpk,https://creativecommons.org/licenses/by/4.0/,,121,922,E92444327842978661,Canon Canon EOS 7D,2015-10-22 09:20:31 +0900,800,1/500,0,16.0,EF-S17-85mm f/4-5.6 IS USM,Auto,
2695,XYNgG,https://find47.jp/ja/i/XYNgG,https://find47.jp/en/i/XYNgG,https://find47.jp/ja/i/XYNgG/image_file,https://find47.jp/ja/i/XYNgG/image_file?type=thumb,八幡平「ドラゴンアイ」,"Hachimantai ""Dragon Eye"" Akita",5,秋田県,Akita,SQUAREZERO,SQZ,https://app.find47.jp/ja/u/MGBho,https://app.find47.jp/en/u/MGBho,https://creativecommons.org/licenses/by/4.0/,,107,615,E92445428754617481,,,,,,,,,
2829,unXp4,https://find47.jp/ja/i/unXp4,https://find47.jp/en/i/unXp4,https://find47.jp/ja/i/unXp4/image_file,https://find47.jp/ja/i/unXp4/image_file?type=thumb,夜空に映える黄金色の稲穂,AKITA　Kanto Festival Akita,5,秋田県,Akita,mko294,mko294,https://app.find47.jp/ja/u/w5eU7,https://app.find47.jp/en/u/w5eU7,https://creativecommons.org/licenses/by/4.0/,,107,644,E92444151376982539,SONY ILCE-7R,2019-08-03 19:40:15 +0900,1600,1/100,0,2.8,FE 24-70mm F2.8 GM,Auto,31 mm
2876,V8QPP,https://find47.jp/ja/i/V8QPP,https://find47.jp/en/i/V8QPP,https://find47.jp/ja/i/V8QPP/image_file,https://find47.jp/ja/i/V8QPP/image_file?type=thumb,早春の夕景(鳥海山とオリオン座・にかほ市),"Early spring evening view (Mt. Chokai and Orion, Nikaho City) Akita",5,秋田県,Akita,koichi_hayakawa,Koichi_Hayakawa,https://app.find47.jp/ja/u/ZIyiS,https://app.find47.jp/en/u/ZIyiS,https://creativecommons.org/licenses/by/4.0/,,211,582,E91663629563153772,Canon Canon EOS 80D,2019-03-09 20:17:21 +0900,3200,20,0,2.8,Tokina AT-X 116 PRO DX II 11-16mm F2.8,Custom,11mm
4221,Vta49,https://find47.jp/ja/i/Vta49,https://find47.jp/en/i/Vta49,https://find47.jp/ja/i/Vta49/image_file,https://find47.jp/ja/i/Vta49/image_file?type=thumb,冬師湿原の鏡面,Water mirror Akita,5,秋田県,Akita,simple2150,simple2150,https://app.find47.jp/ja/u/VBAF3,https://app.find47.jp/en/u/VBAF3,https://creativecommons.org/licenses/by/4.0/,,29,21,E92441441157584513,SONY ILCE-7M3,2022-06-10 13:47:15 +0900,3200,10,0,1.4,20mm F1.4 DG HSM | Art 018,Auto,20 mm
4825,m1lo1,https://find47.jp/ja/i/m1lo1,https://find47.jp/en/i/m1lo1,https://find47.jp/ja/i/m1lo1/image_file,https://find47.jp/ja/i/m1lo1/image_file?type=thumb,AM10:43,AM10:43 Akita,5,秋田県,Akita,Geboku,Geboku,https://app.find47.jp/ja/u/NYeLM,https://app.find47.jp/en/u/NYeLM,https://creativecommons.org/licenses/by/4.0/,,0,1,E92445717198677662,Canon Canon PowerShot S90,2016-11-20 10:43:32 +0900,80,1/80,0,3.5,,Cloudy,
4849,e5NtI,https://find47.jp/ja/i/e5NtI,https://find47.jp/en/i/e5NtI,https://find47.jp/ja/i/e5NtI/image_file,https://find47.jp/ja/i/e5NtI/image_file?type=thumb,みぞれ,Sleet Akita,5,秋田県,Akita,Geboku,Geboku,https://app.find47.jp/ja/u/NYeLM,https://app.find47.jp/en/u/NYeLM,https://creativecommons.org/licenses/by/4.0/,,0,0,E92444152345928461,Canon Canon PowerShot S90,2019-01-10 15:59:00 +0900,100,1/60,0,4.0,,Cloudy,
4862,y3aDP,https://find47.jp/ja/i/y3aDP,https://find47.jp/en/i/y3aDP,https://find47.jp/ja/i/y3aDP/image_file,https://find47.jp/ja/i/y3aDP/image_file?type=thumb,田沢湖,Lake Tazawa Akita,5,秋田県,Akita,Keita123,Keita123,https://app.find47.jp/ja/u/ZFh9d,https://app.find47.jp/en/u/ZFh9d,https://creativecommons.org/licenses/by/4.0/,,0,1,E92445147625443277,Apple iPhone 14 Pro Max,2023-07-30 14:36:42 +0900,80,1/3472,1.68,1.8,Apple iPhone 14 Pro Max back dual wide camera 6.86mm f/1.78,Auto,24 mm
4920,6LUbk,https://find47.jp/ja/i/6LUbk,https://find47.jp/en/i/6LUbk,https://find47.jp/ja/i/6LUbk/image_file,https://find47.jp/ja/i/6LUbk/image_file?type=thumb,角館、みちのくの紅葉,Kakunodate in Autumn Akita,5,秋田県,Akita,Ken_Lee,Ken_Lee,https://app.find47.jp/ja/u/D4E4y,https://app.find47.jp/en/u/D4E4y,https://creativecommons.org/licenses/by/4.0/,,0,4,E92441976855198945,Canon Canon EOS Kiss X9,2018-11-11 14:22:24 +0900,200,1/15,0,10.0,EF-S18-55mm f/4-5.6 IS STM,Manual,
