id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
10,JlUgY,https://find47.jp/ja/i/JlUgY,https://find47.jp/en/i/JlUgY,https://find47.jp/ja/i/JlUgY/image_file,https://find47.jp/ja/i/JlUgY/image_file?type=thumb,立石寺,Risshakuji Temple Yamagata,6,山形県,Yamagata,山形市観光協会,Yamagata City Sightseeing Association,,,https://creativecommons.org/licenses/by/4.0/,,851,2218,E92417267988338696,,,,,,,,,
11,eOHgQ,https://find47.jp/ja/i/eOHgQ,https://find47.jp/en/i/eOHgQ,https://find47.jp/ja/i/eOHgQ/image_file,https://find47.jp/ja/i/eOHgQ/image_file?type=thumb,蔵王温泉スキー場 樹氷,"""Snow Monsters"", Zao Onsen Ski Resort Yamagata",6,山形県,Yamagata,蔵王ロープウェイ,ZAO Ropeway,,,https://creativecommons.org/licenses/by/4.0/,,3722,3734,E92417223545395283,,,,,,,,,
991,WcMzR,https://find47.jp/ja/i/WcMzR,https://find47.jp/en/i/WcMzR,https://find47.jp/ja/i/WcMzR/image_file,https://find47.jp/ja/i/WcMzR/image_file?type=thumb,銀山温泉,Ginzan Onsen Yamagata,6,山形県,Yamagata,Koichi_Hayakawa,Koichi_Hayakawa,https://app.find47.jp/ja/u/ZIyiS,https://app.find47.jp/en/u/ZIyiS,https://creativecommons.org/licenses/by/4.0/,potw,2562,3647,E92417672514472268,Canon Canon EOS 80D,2019-01-04 21:17:56 +0900,200,15,-1,11.0,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016,Auto,24mm
1000,WS7Qv,https://find47.jp/ja/i/WS7Qv,https://find47.jp/en/i/WS7Qv,https://find47.jp/ja/i/WS7Qv/image_file,https://find47.jp/ja/i/WS7Qv/image_file?type=thumb,樹氷ライトアップ(蔵王温泉スキー場),Ice monster light up(Zao Onsen Ski Resort) Yamagata,6,山形県,Yamagata,Koichi_Hayakawa,Koichi_Hayakawa,https://app.find47.jp/ja/u/ZIyiS,https://app.find47.jp/en/u/ZIyiS,https://creativecommons.org/licenses/by/4.0/,,288,2659,E92417223866211698,Canon Canon EOS 80D,2019-01-04 18:04:33 +0900,200,4,-2/3,9.0,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016,Auto,32mm
1003,pl4Tk,https://find47.jp/ja/i/pl4Tk,https://find47.jp/en/i/pl4Tk,https://find47.jp/ja/i/pl4Tk/image_file,https://find47.jp/ja/i/pl4Tk/image_file?type=thumb,アイスモンスターの行進（蔵王温泉スキー場）,Ice monster's march (Zao Onsen Ski Resort) Yamagata,6,山形県,Yamagata,Koichi_Hayakawa,Koichi_Hayakawa,https://app.find47.jp/ja/u/ZIyiS,https://app.find47.jp/en/u/ZIyiS,https://creativecommons.org/licenses/by/4.0/,potw,343,2179,E92417223866211698,Canon Canon EOS 80D,2019-01-04 17:42:50 +0900,400,2,0,11.0,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016,Custom,20mm
1694,8MWa8,https://find47.jp/ja/i/8MWa8,https://find47.jp/en/i/8MWa8,https://find47.jp/ja/i/8MWa8/image_file,https://find47.jp/ja/i/8MWa8/image_file?type=thumb,羽黒山の秘境,Haguro Mountain's Goddess and The Five-storied Pagoda Yamagata,6,山形県,Yamagata,Makoto_Lab,Makoto_Lab,https://app.find47.jp/ja/u/GEfec,https://app.find47.jp/en/u/GEfec,https://creativecommons.org/licenses/by/4.0/,,232,1814,E91639938385755139,Canon Canon EOS 9000D,2019-08-02 10:13:47 +0900,100,1/8,0,16.0,EF-S18-55mm f/4-5.6 IS STM,太陽光,35mm
1697,MA2I2,https://find47.jp/ja/i/MA2I2,https://find47.jp/en/i/MA2I2,https://find47.jp/ja/i/MA2I2/image_file,https://find47.jp/ja/i/MA2I2/image_file?type=thumb,月山頂上からの雲海と鳥海山,Sea of clouds and Mt.Chokai from the top of Gassan Yamagata,6,山形県,Yamagata,Makoto_Lab,Makoto_Lab,https://app.find47.jp/ja/u/GEfec,https://app.find47.jp/en/u/GEfec,https://creativecommons.org/licenses/by/4.0/,,205,1683,E92417447696898869,Canon Canon EOS 9000D,2019-08-02 18:27:15 +0900,100,1/125,-2/3,9.0,EF-S18-55mm f/4-5.6 IS STM,太陽光,18mm
1747,PuZfN,https://find47.jp/ja/i/PuZfN,https://find47.jp/en/i/PuZfN,https://find47.jp/ja/i/PuZfN/image_file,https://find47.jp/ja/i/PuZfN/image_file?type=thumb,黄泉がえりの山、湯殿山,The mountain of resurrection is Mt.Yudono Yamagata,6,山形県,Yamagata,Makoto_Lab,Makoto_Lab,https://app.find47.jp/ja/u/GEfec,https://app.find47.jp/en/u/GEfec,https://creativecommons.org/licenses/by/4.0/,,118,1481,E91639669522831324,Canon Canon EOS 9000D,2019-08-03 09:42:04 +0900,100,1/60,0,16.0,EF-S18-55mm f/4-5.6 IS STM,太陽光,48mm
2260,g4oER,https://find47.jp/ja/i/g4oER,https://find47.jp/en/i/g4oER,https://find47.jp/ja/i/g4oER/image_file,https://find47.jp/ja/i/g4oER/image_file?type=thumb,最上川から吾妻連峰を望む春,Azuma mountains from Mogami-river Yamagata,6,山形県,Yamagata,granpapa3,granpapa3,https://app.find47.jp/ja/u/YCyKO,https://app.find47.jp/en/u/YCyKO,https://creativecommons.org/licenses/by/4.0/,,165,951,E92414488876779741,FUJIFILM X-Pro2,2020-04-22 14:13:07 +0900,200,1/450,0,7.1,FUJIFILM XC50-230mmF4.5-6.7 OIS II,Auto,345 mm
2362,QpOzU,https://find47.jp/ja/i/QpOzU,https://find47.jp/en/i/QpOzU,https://find47.jp/ja/i/QpOzU/image_file,https://find47.jp/ja/i/QpOzU/image_file?type=thumb,秋田県　鳥海山,Akita Yamagata,6,山形県,Yamagata,OnoRyusei,OnoRyusei,https://app.find47.jp/ja/u/yBClF,https://app.find47.jp/en/u/yBClF,https://creativecommons.org/licenses/by/4.0/,,169,898,E92441175598578412,Apple iPhone 11,2020-03-14 10:18:36 +0900,25,1/6849,0,2.4,Apple iPhone 11 back dual wide camera 1.54mm f/2.4,Auto,13 mm
2621,cjoFc,https://find47.jp/ja/i/cjoFc,https://find47.jp/en/i/cjoFc,https://find47.jp/ja/i/cjoFc/image_file,https://find47.jp/ja/i/cjoFc/image_file?type=thumb,飯豊山と集落,Iideyama and the village Yamagata,6,山形県,Yamagata,coshall,coshall,https://app.find47.jp/ja/u/Qcz2W,https://app.find47.jp/en/u/Qcz2W,https://creativecommons.org/licenses/by/4.0/,,33,324,E91636923812286142,PENTAX PENTAX K-5,2020-06-14 05:33:14 +0900,1600,1/1600,0.3,10.0,,Auto,27 mm
3206,zUyF9,https://find47.jp/ja/i/zUyF9,https://find47.jp/en/i/zUyF9,https://find47.jp/ja/i/zUyF9/image_file,https://find47.jp/ja/i/zUyF9/image_file?type=thumb,冬の温泉地（銀山温泉・尾花沢市）,"Winter hot spring area (Ginzan Onsen, Obanazawa City) Yamagata",6,山形県,Yamagata,Koichi_Hayakawa,Koichi_Hayakawa,https://app.find47.jp/ja/u/ZIyiS,https://app.find47.jp/en/u/ZIyiS,https://creativecommons.org/licenses/by/4.0/,,340,363,E92417672462414945,Canon Canon EOS RP,2020-12-29 17:21:10 +0900,400,30,0,16.0,TAMRON SP 15-30mm F/2.8 Di VC USD G2 A041,Auto,
3207,ZYQmH,https://find47.jp/ja/i/ZYQmH,https://find47.jp/en/i/ZYQmH,https://find47.jp/ja/i/ZYQmH/image_file,https://find47.jp/ja/i/ZYQmH/image_file?type=thumb,夕暮れの光景（銀山温泉・尾花沢市）,"Scenery of dusk (Ginzan Onsen, Obanazawa City) Yamagata",6,山形県,Yamagata,Koichi_Hayakawa,Koichi_Hayakawa,https://app.find47.jp/ja/u/ZIyiS,https://app.find47.jp/en/u/ZIyiS,https://creativecommons.org/licenses/by/4.0/,potw,245,354,E92417672462414945,Canon Canon EOS RP,2020-12-29 16:50:30 +0900,400,6,0,16.0,TAMRON SP 15-30mm F/2.8 Di VC USD G2 A041,Auto,29mm
4456,24xc6,https://find47.jp/ja/i/24xc6,https://find47.jp/en/i/24xc6,https://find47.jp/ja/i/24xc6/image_file,https://find47.jp/ja/i/24xc6/image_file?type=thumb,銀山温泉,Ginzan Onsen Yamagata,6,山形県,Yamagata,LIKEWORKS,LIKEWORKS,https://app.find47.jp/ja/u/lvNwu,https://app.find47.jp/en/u/lvNwu,https://creativecommons.org/licenses/by/4.0/,,27,6,E92417672464739352,Canon Canon EOS R6,2022-06-04 19:43,100,6,0,8.0,RF35mm F1.8 MACRO IS STM,Auto,35mm
4749,NyAro,https://find47.jp/ja/i/NyAro,https://find47.jp/en/i/NyAro,https://find47.jp/ja/i/NyAro/image_file,https://find47.jp/ja/i/NyAro/image_file?type=thumb,文翔館,Bunshokan Yamagata,6,山形県,Yamagata,Takatoshi,Takatoshi,https://app.find47.jp/ja/u/FPsax,https://app.find47.jp/en/u/FPsax,https://creativecommons.org/licenses/by/4.0/,,6,0,E92417251876927717,Apple iPhone 12,2022-08-02 18:56:21 +0900,400,1/50,0,2.4,Apple iPhone 12 back dual wide camera 1.55mm f/2.4,Auto,14 mm
4752,xvHQR,https://find47.jp/ja/i/xvHQR,https://find47.jp/en/i/xvHQR,https://find47.jp/ja/i/xvHQR/image_file,https://find47.jp/ja/i/xvHQR/image_file?type=thumb,霞城公園,Kajo park  Yamagata,6,山形県,Yamagata,Takatoshi,Takatoshi,https://app.find47.jp/ja/u/FPsax,https://app.find47.jp/en/u/FPsax,https://creativecommons.org/licenses/by/4.0/,,6,0,E92417243969771391,Apple iPhone 7,2019-04-20 16:28:34 +0900,20,1/812,0,1.8,Apple iPhone 7 back camera 3.99mm f/1.8,Auto,28 mm
