id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
54,3CwMV,https://find47.jp/ja/i/3CwMV,https://find47.jp/en/i/3CwMV,https://find47.jp/ja/i/3CwMV/image_file,https://find47.jp/ja/i/3CwMV/image_file?type=thumb,三島池,Mishima pond Shiga,25,滋賀県,Shiga,米原市,maibara city,,,https://creativecommons.org/licenses/by/4.0/,,853,2400,E91385173767717183,,,,,,,,,
163,et2Yh,https://find47.jp/ja/i/et2Yh,https://find47.jp/en/i/et2Yh,https://find47.jp/ja/i/et2Yh/image_file,https://find47.jp/ja/i/et2Yh/image_file?type=thumb,夕焼けに染まる西の湖,omihachiman sunset Shiga,25,滋賀県,Shiga,yoshinoriyamazaki,yoshinoriyamazaki,https://app.find47.jp/ja/u/Yp6TE,https://app.find47.jp/en/u/Yp6TE,https://creativecommons.org/licenses/by/4.0/,,954,4795,E91381979213559726,DJI FC6310,2017-11-10 16:42:10 +0900,100,1/200,0,11.0,24.0 mm,Manual,24 mm
165,2hEhh,https://find47.jp/ja/i/2hEhh,https://find47.jp/en/i/2hEhh,https://find47.jp/ja/i/2hEhh/image_file,https://find47.jp/ja/i/2hEhh/image_file?type=thumb,西の湖でカヤック,lake lovers group Shiga,25,滋賀県,Shiga,yoshinoriyamazaki,yoshinoriyamazaki,https://app.find47.jp/ja/u/Yp6TE,https://app.find47.jp/en/u/Yp6TE,https://creativecommons.org/licenses/by/4.0/,,333,3242,E91381979213559726,DJI FC6310,2017-11-10 17:01:30 +0900,320,1/30,-0.344,2.8,24.0 mm,Manual,24 mm
166,bXHLS,https://find47.jp/ja/i/bXHLS,https://find47.jp/en/i/bXHLS,https://find47.jp/ja/i/bXHLS/image_file,https://find47.jp/ja/i/bXHLS/image_file?type=thumb,琵琶湖大橋と沖島,BIWAKO & OKISHIMA Shiga,25,滋賀県,Shiga,yoshinoriyamazaki,yoshinoriyamazaki,https://app.find47.jp/ja/u/Yp6TE,https://app.find47.jp/en/u/Yp6TE,https://creativecommons.org/licenses/by/4.0/,,373,3652,E91381845822349733,Canon Canon EOS 5D Mark III,2017-11-11 16:08:47 +0900,1600,1/1250,-1/3,8.0,EF70-200mm f/2.8L USM,Manual,
555,aO1lM,https://find47.jp/ja/i/aO1lM,https://find47.jp/en/i/aO1lM,https://find47.jp/ja/i/aO1lM/image_file,https://find47.jp/ja/i/aO1lM/image_file?type=thumb,新緑の中の祈り,prayer in fresh green Shiga,25,滋賀県,Shiga,Kenichi_Inagaki,Kenichi_Inagaki,https://app.find47.jp/ja/u/eQuxV,https://app.find47.jp/en/u/eQuxV,https://creativecommons.org/licenses/by/4.0/,,407,3020,E91381999248865941,OLYMPUS IMAGING CORP. E-M5MarkII,2018-05-19 15:28:07 +0900,640,1/20,0,5.0,OLYMPUS M.12-40mm F2.8,Auto,24 mm
1716,qCDAx,https://find47.jp/ja/i/qCDAx,https://find47.jp/en/i/qCDAx,https://find47.jp/ja/i/qCDAx/image_file,https://find47.jp/ja/i/qCDAx/image_file?type=thumb,彦根城,Hikone Castle Shiga,25,滋賀県,Shiga,tanaka,tanaka,https://app.find47.jp/ja/u/8h2MJ,https://app.find47.jp/en/u/8h2MJ,https://creativecommons.org/licenses/by/4.0/,,151,1435,E91384362278764353,NIKON CORPORATION NIKON D810,2017-08-12 10:43:36 +0900,200,1/4000,0,2.5,35.0 mm f/1.4,Auto,35 mm
2053,ulPEj,https://find47.jp/ja/i/ulPEj,https://find47.jp/en/i/ulPEj,https://find47.jp/ja/i/ulPEj/image_file,https://find47.jp/ja/i/ulPEj/image_file?type=thumb,彦根の琵琶湖,Biwako Shiga,25,滋賀県,Shiga,Hawk,Hawk,https://app.find47.jp/ja/u/Jggil,https://app.find47.jp/en/u/Jggil,https://creativecommons.org/licenses/by/4.0/,potw,184,1511,E91384362857646419,NIKON CORPORATION NIKON D90,2020-01-13 16:38:05 +0900,360,1/250,0,10.0,18.0-300.0 mm f/3.5-6.3,Auto,45 mm
2073,HHMB5,https://find47.jp/ja/i/HHMB5,https://find47.jp/en/i/HHMB5,https://find47.jp/ja/i/HHMB5/image_file,https://find47.jp/ja/i/HHMB5/image_file?type=thumb,蓬莱山,Horai Shiga,25,滋賀県,Shiga,Hawk,Hawk,https://app.find47.jp/ja/u/Jggil,https://app.find47.jp/en/u/Jggil,https://creativecommons.org/licenses/by/4.0/,,123,1139,E91381891887672361,NIKON CORPORATION NIKON D90,2020-02-02 14:07:38 +0900,200,1/320,0,10.0,18.0-300.0 mm f/3.5-6.3,Auto,450 mm
2106,wX1oH,https://find47.jp/ja/i/wX1oH,https://find47.jp/en/i/wX1oH,https://find47.jp/ja/i/wX1oH/image_file,https://find47.jp/ja/i/wX1oH/image_file?type=thumb,琵琶湖の湖岸,Biwako Shiga,25,滋賀県,Shiga,Hawk,Hawk,https://app.find47.jp/ja/u/Jggil,https://app.find47.jp/en/u/Jggil,https://creativecommons.org/licenses/by/4.0/,potw,228,1480,E91384614351383127,NIKON CORPORATION NIKON D90,2020-02-04 15:50:17 +0900,200,1/320,0,10.0,18.0-300.0 mm f/3.5-6.3,Auto,66 mm
2119,Xbl7V,https://find47.jp/ja/i/Xbl7V,https://find47.jp/en/i/Xbl7V,https://find47.jp/ja/i/Xbl7V/image_file,https://find47.jp/ja/i/Xbl7V/image_file?type=thumb,白髭神社,Shirahige Shrine Shiga,25,滋賀県,Shiga,Hawk,Hawk,https://app.find47.jp/ja/u/Jggil,https://app.find47.jp/en/u/Jggil,https://creativecommons.org/licenses/by/4.0/,,325,1453,E91384262292582799,NIKON CORPORATION NIKON D90,2020-02-04 14:18:36 +0900,200,1/800,0,13.0,18.0-300.0 mm f/3.5-6.3,Auto,27 mm
2152,7oNuY,https://find47.jp/ja/i/7oNuY,https://find47.jp/en/i/7oNuY,https://find47.jp/ja/i/7oNuY/image_file,https://find47.jp/ja/i/7oNuY/image_file?type=thumb,長浜市の夕焼け,Lake Biwa and sunset Shiga,25,滋賀県,Shiga,Hawk,Hawk,https://app.find47.jp/ja/u/Jggil,https://app.find47.jp/en/u/Jggil,https://creativecommons.org/licenses/by/4.0/,,120,1119,E91384623451766969,NIKON CORPORATION NIKON D90,2020-02-04 17:16:10 +0900,640,1/400,0,11.0,18.0-300.0 mm f/3.5-6.3,Auto,27 mm
2244,r9HWB,https://find47.jp/ja/i/r9HWB,https://find47.jp/en/i/r9HWB,https://find47.jp/ja/i/r9HWB/image_file,https://find47.jp/ja/i/r9HWB/image_file?type=thumb,桜ロード,Sakura load Shiga,25,滋賀県,Shiga,Hawk,Hawk,https://app.find47.jp/ja/u/Jggil,https://app.find47.jp/en/u/Jggil,https://creativecommons.org/licenses/by/4.0/,,350,1151,E91381952897576228,NIKON CORPORATION NIKON D90,2020-04-05 20:41:35 +0900,1600,1/20,0,3.5,18.0-300.0 mm f/3.5-6.3,Auto,27 mm
