id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
97,QHl4x,https://find47.jp/ja/i/QHl4x,https://find47.jp/en/i/QHl4x,https://find47.jp/ja/i/QHl4x/image_file,https://find47.jp/ja/i/QHl4x/image_file?type=thumb,大幡山から望む大幡池,Lake Oohata from Mt.Oohata Miyazaki,45,宮崎県,Miyazaki,小林市,Kobayashi City,,,https://creativecommons.org/licenses/by/4.0/,,942,4303,E91229963528276546,,,,,,,,,
98,BmdgZ,https://find47.jp/ja/i/BmdgZ,https://find47.jp/en/i/BmdgZ,https://find47.jp/ja/i/BmdgZ/image_file,https://find47.jp/ja/i/BmdgZ/image_file?type=thumb,二原から眺める霧島連山（初夏）,Kirisima Mountain Range from Nihara(early summer) Miyazaki,45,宮崎県,Miyazaki,小林市,Kobayashi City,,,https://creativecommons.org/licenses/by/4.0/,,1631,5888,E91229925688378523,,,,,,,,,
99,izgKy,https://find47.jp/ja/i/izgKy,https://find47.jp/en/i/izgKy,https://find47.jp/ja/i/izgKy/image_file,https://find47.jp/ja/i/izgKy/image_file?type=thumb,韓国岳から望む高千穂峰,Mt.Takachiho from Mt.Karakuni Miyazaki,45,宮崎県,Miyazaki,小林市,Kobayashi City,,,https://creativecommons.org/licenses/by/4.0/,,1391,4025,E91229596664513479,,,,,,,,,
1085,0eM3n,https://find47.jp/ja/i/0eM3n,https://find47.jp/en/i/0eM3n,https://find47.jp/ja/i/0eM3n/image_file,https://find47.jp/ja/i/0eM3n/image_file?type=thumb,天安河原,Amanoyasugawara Miyazaki,45,宮崎県,Miyazaki,momiji,momiji,https://app.find47.jp/ja/u/n8d87,https://app.find47.jp/en/u/n8d87,https://creativecommons.org/licenses/by/4.0/,potw,645,2875,E91261733952185585,PENTAX PENTAX K-5 II s,2017-07-26 09:02:09 +0900,80,1/15,0.3,11.0,smc PENTAX-DA 18-135mm F3.5-5.6 ED AL[IF] DC WR,Auto,27 mm
1478,MB8UQ,https://find47.jp/ja/i/MB8UQ,https://find47.jp/en/i/MB8UQ,https://find47.jp/ja/i/MB8UQ/image_file,https://find47.jp/ja/i/MB8UQ/image_file?type=thumb,椎葉村　仙人の棚田,Paddy fields  Miyazaki,45,宮崎県,Miyazaki,Shiro_KUROGI,Shiro_KUROGI,https://app.find47.jp/ja/u/CPMpv,https://app.find47.jp/en/u/CPMpv,https://creativecommons.org/licenses/by/4.0/,,326,1996,E91261423447478653,FUJIFILM X-E2,2019-05-06 10:38:55 +0900,200,1/350,0,6.4,FUJIFILM XF18-55mmF2.8-4 R LM OIS,オート,36 mm
1485,7RrDu,https://find47.jp/ja/i/7RrDu,https://find47.jp/en/i/7RrDu,https://find47.jp/ja/i/7RrDu/image_file,https://find47.jp/ja/i/7RrDu/image_file?type=thumb,門川町　桃源郷,Shangri-la Miyazaki,45,宮崎県,Miyazaki,Shiro_KUROGI,Shiro_KUROGI,https://app.find47.jp/ja/u/CPMpv,https://app.find47.jp/en/u/CPMpv,https://creativecommons.org/licenses/by/4.0/,,985,2424,E91261621682487964,FUJIFILM X-E2,2018-06-06 10:25:35 +0900,400,1/2200,0,2.0,FUJIFILM XF35mmF1.4 R,Auto,53 mm
1548,hVEpK,https://find47.jp/ja/i/hVEpK,https://find47.jp/en/i/hVEpK,https://find47.jp/ja/i/hVEpK/image_file,https://find47.jp/ja/i/hVEpK/image_file?type=thumb,奥日向路,Further Hyuga Lu Miyazaki,45,宮崎県,Miyazaki,Shiro_KUROGI,Shiro_KUROGI,https://app.find47.jp/ja/u/CPMpv,https://app.find47.jp/en/u/CPMpv,https://creativecommons.org/licenses/by/4.0/,,434,2425,E91261426292553829,FUJIFILM X-E2,2019-05-28 11:41:22 +0900,200,1/300,0,5.6,FUJIFILM XF18-55mmF2.8-4 R LM OIS,,83 mm
1595,6JXmo,https://find47.jp/ja/i/6JXmo,https://find47.jp/en/i/6JXmo,https://find47.jp/ja/i/6JXmo/image_file,https://find47.jp/ja/i/6JXmo/image_file?type=thumb,島毛灯台の夜明け,Dawn of the lighhouse Miyazaki,45,宮崎県,Miyazaki,Shiro_KUROGI,Shiro_KUROGI,https://app.find47.jp/ja/u/CPMpv,https://app.find47.jp/en/u/CPMpv,https://creativecommons.org/licenses/by/4.0/,,306,1904,E91261655669527832,FUJIFILM X-T1,2015-09-22 06:07:18 +0900,200,1/320,0,5.6,FUJIFILM XF55-200mmF3.5-4.8 R LM OIS,Auto,300 mm
1824,S5chQ,https://find47.jp/ja/i/S5chQ,https://find47.jp/en/i/S5chQ,https://find47.jp/ja/i/S5chQ/image_file,https://find47.jp/ja/i/S5chQ/image_file?type=thumb,耳川橋梁,MIMIKAWA Bridge Miyazaki,45,宮崎県,Miyazaki,Shiro_KUROGI,Shiro_KUROGI,https://app.find47.jp/ja/u/CPMpv,https://app.find47.jp/en/u/CPMpv,https://creativecommons.org/licenses/by/4.0/,,289,1684,E91261344184129567,FUJIFILM X-T1,2017-08-30 06:47:14 +0900,200,1/240,0,8.0,FUJIFILM XF16mmF1.4 R WR,Auto,24 mm
1845,GIsQj,https://find47.jp/ja/i/GIsQj,https://find47.jp/en/i/GIsQj,https://find47.jp/ja/i/GIsQj/image_file,https://find47.jp/ja/i/GIsQj/image_file?type=thumb,日向岬とにっぽん丸,Hyuga Cape and　Nippon maru Miyazaki,45,宮崎県,Miyazaki,Shiro_KUROGI,Shiro_KUROGI,https://app.find47.jp/ja/u/CPMpv,https://app.find47.jp/en/u/CPMpv,https://creativecommons.org/licenses/by/4.0/,,221,1532,E91261376633973493,FUJIFILM X-T1,2019-10-08 16:38:19 +0900,400,1/350,0.33,5.6,FUJIFILM XF55-200mmF3.5-4.8 R LM OIS,Auto,150 mm
