id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
25,SokBC,https://find47.jp/ja/i/SokBC,https://find47.jp/en/i/SokBC,https://find47.jp/ja/i/SokBC/image_file,https://find47.jp/ja/i/SokBC/image_file?type=thumb,湯河原梅林,Yugawara Plum Grove Kanagawa,14,神奈川県,Kanagawa,湯河原町,Yugawara Town,,,https://creativecommons.org/licenses/by/4.0/,,1653,4934,E91392979648316536,,,,,,,,,
26,ZS0wa,https://find47.jp/ja/i/ZS0wa,https://find47.jp/en/i/ZS0wa,https://find47.jp/ja/i/ZS0wa/image_file,https://find47.jp/ja/i/ZS0wa/image_file?type=thumb,湯かけ祭り,Hot Spring Water Splashing Festival Kanagawa,14,神奈川県,Kanagawa,湯河原町,Yugawara Town,,,https://creativecommons.org/licenses/by/4.0/,,704,4479,E91392976468752651,,,,,,,,,
195,ovIBy,https://find47.jp/ja/i/ovIBy,https://find47.jp/en/i/ovIBy,https://find47.jp/ja/i/ovIBy/image_file,https://find47.jp/ja/i/ovIBy/image_file?type=thumb,あつぎ鮎祭り花火大会,A fireworks display in Atsugi City Kanagawa,14,神奈川県,Kanagawa,YANSANSEI,YANSANSEI,https://app.find47.jp/ja/u/hgpGh,https://app.find47.jp/en/u/hgpGh,https://creativecommons.org/licenses/by/4.0/,,482,2931,E91396422179267331,Canon Canon EOS M6,2017-08-05 19:46:03 +0900,100,26,0,16.0,EF-M18-150mm f/3.5-6.3 IS STM,Auto,
390,QHAwx,https://find47.jp/ja/i/QHAwx,https://find47.jp/en/i/QHAwx,https://find47.jp/ja/i/QHAwx/image_file,https://find47.jp/ja/i/QHAwx/image_file?type=thumb,報国寺の竹林,Bamboo grove at Houkokuji Kanagawa,14,神奈川県,Kanagawa,SUN,SUN,https://app.find47.jp/ja/u/mnM9Z,https://app.find47.jp/en/u/mnM9Z,https://creativecommons.org/licenses/by/4.0/,,837,1949,E91396246793712319,NIKON CORPORATION NIKON D750,2016-05-08 13:54:40 +0900,400,1/90,0,8.0,AF-S NIKKOR 24-70mm f/2.8E ED VR,Auto1,24 mm
447,l1y7X,https://find47.jp/ja/i/l1y7X,https://find47.jp/en/i/l1y7X,https://find47.jp/ja/i/l1y7X/image_file,https://find47.jp/ja/i/l1y7X/image_file?type=thumb,鵠沼海岸夕景,Kageuma coast sunset view Kanagawa,14,神奈川県,Kanagawa,nonstagram47,nonstagram47,https://app.find47.jp/ja/u/1MF7v,https://app.find47.jp/en/u/1MF7v,https://creativecommons.org/licenses/by/4.0/,,869,3406,E91396165915376521,Nikon D60,2017-12-29 00:37:08 +0900,,,,,,,
473,iXUN4,https://find47.jp/ja/i/iXUN4,https://find47.jp/en/i/iXUN4,https://find47.jp/ja/i/iXUN4/image_file,https://find47.jp/ja/i/iXUN4/image_file?type=thumb,川崎 工場夜景,Night view of the industrial plant in Kawasaki Kanagawa,14,神奈川県,Kanagawa,Yudai_photography,Yudai_photography,https://app.find47.jp/ja/u/jjFeU,https://app.find47.jp/en/u/jjFeU,https://creativecommons.org/licenses/by/4.0/,,775,4841,E91396563361861547,"RICOH IMAGING COMPANY, LTD. PENTAX K-1",2018-03-16 02:46:15 +0900,200,15,-0.3,11.0,Tamron SP AF 70-200mm F2.8 Di LD [IF] Macro,Manual,70 mm
529,fsexT,https://find47.jp/ja/i/fsexT,https://find47.jp/en/i/fsexT,https://find47.jp/ja/i/fsexT/image_file,https://find47.jp/ja/i/fsexT/image_file?type=thumb,みなとみらい,minatomirai Kanagawa,14,神奈川県,Kanagawa,tmano,tmano,https://app.find47.jp/ja/u/OMibF,https://app.find47.jp/en/u/OMibF,https://creativecommons.org/licenses/by/4.0/,,805,1673,E91396525238725353,,,,,,,,,
1013,I0BpU,https://find47.jp/ja/i/I0BpU,https://find47.jp/en/i/I0BpU,https://find47.jp/ja/i/I0BpU/image_file,https://find47.jp/ja/i/I0BpU/image_file?type=thumb,箱根神社参道,The approach of Hakone Shrine Kanagawa,14,神奈川県,Kanagawa,BlackRose4627,BlackRose4627,https://app.find47.jp/ja/u/zTYAa,https://app.find47.jp/en/u/zTYAa,https://creativecommons.org/licenses/by/4.0/,,383,1088,E91395311824388356,iPhone xr,2019.1.17,,,,,iPhone xr,,
1152,SViEI,https://find47.jp/ja/i/SViEI,https://find47.jp/en/i/SViEI,https://find47.jp/ja/i/SViEI/image_file,https://find47.jp/ja/i/SViEI/image_file?type=thumb,梅の花,Plum blossoms Kanagawa,14,神奈川県,Kanagawa,Akiko_Toshinai,Akiko_Kubosawa,https://app.find47.jp/ja/u/XAMIa,https://app.find47.jp/en/u/XAMIa,https://creativecommons.org/licenses/by/4.0/,,146,1935,E91396289566314769,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2019-02-24 15:01:10 +0900,200,1/2000,0,5.6,smc PENTAX-D FA MACRO 100mm F2.8 WR,Manual,150 mm
1173,5gOq3,https://find47.jp/ja/i/5gOq3,https://find47.jp/en/i/5gOq3,https://find47.jp/ja/i/5gOq3/image_file,https://find47.jp/ja/i/5gOq3/image_file?type=thumb,浮島工場夜景,"Night factory view, Ukishima Kanagawa",14,神奈川県,Kanagawa,Akiko_Toshinai,Akiko_Kubosawa,https://app.find47.jp/ja/u/XAMIa,https://app.find47.jp/en/u/XAMIa,https://creativecommons.org/licenses/by/4.0/,,228,1989,E91396641315837146,"RICOH IMAGING COMPANY, LTD. PENTAX KP",2018-07-07 21:38:31 +0900,100,30,0,11.0,smc PENTAX-D FA MACRO 100mm F2.8 WR,Manual,150 mm
