id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
76,Y7I3H,https://find47.jp/ja/i/Y7I3H,https://find47.jp/en/i/Y7I3H,https://find47.jp/ja/i/Y7I3H/image_file,https://find47.jp/ja/i/Y7I3H/image_file?type=thumb,金刀比羅宮,Kotohira-gu Shrine Kagawa,37,香川県,Kagawa,日本観光振興協会,Japan Travel And Tourism Association,,,https://creativecommons.org/licenses/by/4.0/,,1615,5663,E91347599544858348,,,,,,,,,
474,nPpvF,https://find47.jp/ja/i/nPpvF,https://find47.jp/en/i/nPpvF,https://find47.jp/ja/i/nPpvF/image_file,https://find47.jp/ja/i/nPpvF/image_file?type=thumb,栗林公園,Boat Ride along Ritsurin Garden Kagawa,37,香川県,Kagawa,Milan_Suzuki,Milan_Suzuki,https://app.find47.jp/ja/u/yGOX0,https://app.find47.jp/en/u/yGOX0,https://creativecommons.org/licenses/by/4.0/,,542,3415,E91347965964349467,,,,,,,,,
509,b0Rj8,https://find47.jp/ja/i/b0Rj8,https://find47.jp/en/i/b0Rj8,https://find47.jp/ja/i/b0Rj8/image_file,https://find47.jp/ja/i/b0Rj8/image_file?type=thumb,紫雲出山の桜,Cherry blossoms at Mt. Shiude Kagawa,37,香川県,Kagawa,E0170,E0170,https://app.find47.jp/ja/u/ktU1a,https://app.find47.jp/en/u/ktU1a,https://creativecommons.org/licenses/by/4.0/,,586,1630,E91347814834428447,,,,,,,,,
1326,CgVXv,https://find47.jp/ja/i/CgVXv,https://find47.jp/en/i/CgVXv,https://find47.jp/ja/i/CgVXv/image_file,https://find47.jp/ja/i/CgVXv/image_file?type=thumb,夜明けに染まるマーガレット畑 ／フラワーパークうらしま,A dream at daybreak／flower-park URASHIMA Kagawa,37,香川県,Kagawa,Mikiko-Shinkai,Mikiko-Shinkai,https://app.find47.jp/ja/u/ke7K7,https://app.find47.jp/en/u/ke7K7,https://creativecommons.org/licenses/by/4.0/,potw,431,1109,E91347815752475374,PENTAX Corporation PENTAX K100D,2017-05-14 00:05:41 +0900,200,1/10,,4.0,smc PENTAX-DA 15mm F4 ED AL Limited,,22 mm
1748,srzr9,https://find47.jp/ja/i/srzr9,https://find47.jp/en/i/srzr9,https://find47.jp/ja/i/srzr9/image_file,https://find47.jp/ja/i/srzr9/image_file?type=thumb,津島神社の夏,Summer at Tsushima Shrine Kagawa,37,香川県,Kagawa,overtimes,overtimes,https://app.find47.jp/ja/u/S98u3,https://app.find47.jp/en/u/S98u3,https://creativecommons.org/licenses/by/4.0/,potw,205,1083,E91347825584613575,Canon Canon EOS 10D,2018-08-08 18:51:46 +0900,100,1/100,-2,22.0,EF 50mm F1.8,Auto,
1800,uAgED,https://find47.jp/ja/i/uAgED,https://find47.jp/en/i/uAgED,https://find47.jp/ja/i/uAgED/image_file,https://find47.jp/ja/i/uAgED/image_file?type=thumb,瀬戸大橋と夕日,Seto Bridge and sunset Kagawa,37,香川県,Kagawa,overtimes,overtimes,https://app.find47.jp/ja/u/S98u3,https://app.find47.jp/en/u/S98u3,https://creativecommons.org/licenses/by/4.0/,potw,219,1673,E91347973196778952,Apple iPhone XR,2019-08-10 19:15:02 +0900,125,1/60,0,1.8,Apple iPhone XR back camera 4.25mm f/1.8,Auto,26 mm
1802,1T6DJ,https://find47.jp/ja/i/1T6DJ,https://find47.jp/en/i/1T6DJ,https://find47.jp/ja/i/1T6DJ/image_file,https://find47.jp/ja/i/1T6DJ/image_file?type=thumb,仁尾公園,Nio Park Kagawa,37,香川県,Kagawa,overtimes,overtimes,https://app.find47.jp/ja/u/S98u3,https://app.find47.jp/en/u/S98u3,https://creativecommons.org/licenses/by/4.0/,,210,910,E91347813124574356,Canon Canon EOS Kiss Digital,2019-08-08 17:27:24 +0900,100,1/4000,-2,2.8,EF 40mm F2.8,Auto,
1946,JtaTi,https://find47.jp/ja/i/JtaTi,https://find47.jp/en/i/JtaTi,https://find47.jp/ja/i/JtaTi/image_file,https://find47.jp/ja/i/JtaTi/image_file?type=thumb,四国八十八箇所霊場　第八十一番札所　白峯寺,Shirominetera Kagawa,37,香川県,Kagawa,overtimes,overtimes,https://app.find47.jp/ja/u/S98u3,https://app.find47.jp/en/u/S98u3,https://creativecommons.org/licenses/by/4.0/,,268,1882,E91347954895993512,NIKON CORPORATION NIKON D2X,2019-11-29 15:02:14 +0900,100,1/15,-1,4.5,Nikon F 75-300mm F4.5-5.6,Auto,112 mm
2019,x29Ss,https://find47.jp/ja/i/x29Ss,https://find47.jp/en/i/x29Ss,https://find47.jp/ja/i/x29Ss/image_file,https://find47.jp/ja/i/x29Ss/image_file?type=thumb,屋嶋城　(やしまのき),Yashimanoki Kagawa,37,香川県,Kagawa,overtimes,overtimes,https://app.find47.jp/ja/u/S98u3,https://app.find47.jp/en/u/S98u3,https://creativecommons.org/licenses/by/4.0/,,145,1265,E91348748724317666,Apple iPhone XR,2020-01-10 15:05:16 +0900,25,1/2994,0,1.8,Apple iPhone XR back camera 4.25mm f/1.8,Auto,26 mm
2242,gGAt8,https://find47.jp/ja/i/gGAt8,https://find47.jp/en/i/gGAt8,https://find47.jp/ja/i/gGAt8/image_file,https://find47.jp/ja/i/gGAt8/image_file?type=thumb,五色台　大崎の鼻展望所から望む,Goshikidai: view from Osaki's nose observatory Kagawa,37,香川県,Kagawa,overtimes,overtimes,https://app.find47.jp/ja/u/S98u3,https://app.find47.jp/en/u/S98u3,https://creativecommons.org/licenses/by/4.0/,,232,1119,E91347981977185973,SONY DSLR-A230,2020-04-04 15:14:53 +0900,100,1/200,0,7.1,MINOLTA AF 35-70mm F4,Auto,52 mm
