id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
33,2rsay,https://find47.jp/ja/i/2rsay,https://find47.jp/en/i/2rsay,https://find47.jp/ja/i/2rsay/image_file,https://find47.jp/ja/i/2rsay/image_file?type=thumb,養浩館庭園,Yokokan Garden Fukui,18,福井県,Fukui,福井市,Fukui City,,,https://creativecommons.org/licenses/by/4.0/,,1642,2643,E91387367248427171,,,,,,,,,
34,q2OXh,https://find47.jp/ja/i/q2OXh,https://find47.jp/en/i/q2OXh,https://find47.jp/ja/i/q2OXh/image_file,https://find47.jp/ja/i/q2OXh/image_file?type=thumb,鉾島,Hokojima Island Fukui,18,福井県,Fukui,福井市,Fukui City,,,https://creativecommons.org/licenses/by/4.0/,,912,2139,E91387293564388886,,,,,,,,,
253,dEIMF,https://find47.jp/ja/i/dEIMF,https://find47.jp/en/i/dEIMF,https://find47.jp/ja/i/dEIMF/image_file,https://find47.jp/ja/i/dEIMF/image_file?type=thumb,冬の荒島岳,Arashimadake Fukui,18,福井県,Fukui,Ono-city,Ono-city,https://app.find47.jp/ja/u/MnpIG,https://app.find47.jp/en/u/MnpIG,https://creativecommons.org/licenses/by/4.0/,,466,1990,E91388213187187875,Canon Canon EOS Kiss X4,2012-01-08 16:43:26 +0900,100,1/125,0,7.1,EF-S18-55mm f/3.5-5.6 IS,Auto,
635,AFWNQ,https://find47.jp/ja/i/AFWNQ,https://find47.jp/en/i/AFWNQ,https://find47.jp/ja/i/AFWNQ/image_file,https://find47.jp/ja/i/AFWNQ/image_file?type=thumb,大虫神社宮橋,Omushi Shrine Miyabashi Fukui,18,福井県,Fukui,Nishin24nn,Nishin24nn,https://app.find47.jp/ja/u/G143K,https://app.find47.jp/en/u/G143K,https://creativecommons.org/licenses/by/4.0/,,354,1676,E91384979325774445,OLYMPUS IMAGING CORP. E-M5MarkII,2018-03-10 14:52:09 +0900,200,1/800,0,1.8,OLYMPUS M.17mm F1.8,Auto,34 mm
790,DXjzD,https://find47.jp/ja/i/DXjzD,https://find47.jp/en/i/DXjzD,https://find47.jp/ja/i/DXjzD/image_file,https://find47.jp/ja/i/DXjzD/image_file?type=thumb,平泉寺白山神社,Hakusan Heisenji Shrine  Fukui,18,福井県,Fukui,kskphoto,kskphoto,https://app.find47.jp/ja/u/qvO5J,https://app.find47.jp/en/u/qvO5J,https://creativecommons.org/licenses/by/4.0/,potw,664,3314,E91388166398363171,NIKON CORPORATION NIKON D3300,2017-06-16 10:56:33 +0900,200,1/60,-3,6.3,85.0 mm f/1.8,Auto,127 mm
1919,6Kn4N,https://find47.jp/ja/i/6Kn4N,https://find47.jp/en/i/6Kn4N,https://find47.jp/ja/i/6Kn4N/image_file,https://find47.jp/ja/i/6Kn4N/image_file?type=thumb,養浩館庭園の紅葉,Autumn Leaves in Yokokan Garden Fukui,18,福井県,Fukui,kskphoto,kskphoto,https://app.find47.jp/ja/u/qvO5J,https://app.find47.jp/en/u/qvO5J,https://creativecommons.org/licenses/by/4.0/,potw,500,1964,E91387367279233175,NIKON CORPORATION NIKON D750,2018-11-24 20:22:35 +0900,1600,1.6,-5,9.0,10.0-20.0 mm f/4.5-5.6,Manual,21 mm
2705,lJwwI,https://find47.jp/ja/i/lJwwI,https://find47.jp/en/i/lJwwI,https://find47.jp/ja/i/lJwwI/image_file,https://find47.jp/ja/i/lJwwI/image_file?type=thumb,故郷,My hometown Fukui,18,福井県,Fukui,ErikaKawaguchi,ErikaKawaguchi,https://app.find47.jp/ja/u/VvbX0,https://app.find47.jp/en/u/VvbX0,https://creativecommons.org/licenses/by/4.0/,,80,697,E91387365883391292,Apple iPhone XR,2019-11-24 16:47:11 +0900,100,1/155,0,1.8,Apple iPhone XR back camera 4.25mm f/1.8,Auto,26 mm
2746,CO4Nv,https://find47.jp/ja/i/CO4Nv,https://find47.jp/en/i/CO4Nv,https://find47.jp/ja/i/CO4Nv/image_file,https://find47.jp/ja/i/CO4Nv/image_file?type=thumb,東尋坊,Tojinbo Fukui,18,福井県,Fukui,SHori,SHori,https://app.find47.jp/ja/u/OnRZG,https://app.find47.jp/en/u/OnRZG,https://creativecommons.org/licenses/by/4.0/,,105,687,E91387619613962431,SONY ILCE-7M3,2019-10-09 17:22:58 +0900,200,1/160,0,11.0,FE 12-24mm F4 G,Manual,12 mm
2787,gPOWS,https://find47.jp/ja/i/gPOWS,https://find47.jp/en/i/gPOWS,https://find47.jp/ja/i/gPOWS/image_file,https://find47.jp/ja/i/gPOWS/image_file?type=thumb,壁の向こう側,The Other Side of the Wall Fukui,18,福井県,Fukui,F_Photo,F_Photo,https://app.find47.jp/ja/u/5kBeN,https://app.find47.jp/en/u/5kBeN,https://creativecommons.org/licenses/by/4.0/,,157,598,E91388134587358241,SONY ILCE-7RM2,2019-04-30 13:16:48 +0900,100,1/20,0,8.0,FE 16-35mm F4 ZA OSS,Manual,17 mm
3144,Oi4eZ,https://find47.jp/ja/i/Oi4eZ,https://find47.jp/en/i/Oi4eZ,https://find47.jp/ja/i/Oi4eZ/image_file,https://find47.jp/ja/i/Oi4eZ/image_file?type=thumb,若狭高浜,Wakasa-Takahama Fukui,18,福井県,Fukui,SHori,SHori,https://app.find47.jp/ja/u/OnRZG,https://app.find47.jp/en/u/OnRZG,https://creativecommons.org/licenses/by/4.0/,,132,317,E91376639626136937,SONY ILCE-7M3,,100,1/200,0,8.0,FE 24-105mm F4 G OSS,Manual,24 mm
