id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
55,7KPCR,https://find47.jp/ja/i/7KPCR,https://find47.jp/en/i/7KPCR,https://find47.jp/ja/i/7KPCR/image_file,https://find47.jp/ja/i/7KPCR/image_file?type=thumb,久美浜湾,Kumihama Bay Kyoto,26,京都府,Kyoto,「海の京都」京丹後市実践会議,Umi-no-Kyoto Organization Committee,,,https://creativecommons.org/licenses/by/4.0/,,1673,2572,E91376481419442547,,,,,,,,,
56,6b3MB,https://find47.jp/ja/i/6b3MB,https://find47.jp/en/i/6b3MB,https://find47.jp/ja/i/6b3MB/image_file,https://find47.jp/ja/i/6b3MB/image_file?type=thumb,立岩,Tateiwa Rock Kyoto,26,京都府,Kyoto,京丹後市,Kyotango City,,,https://creativecommons.org/licenses/by/4.0/,,1393,2392,E91376818532471764,,,,,,,,,
117,iAWP7,https://find47.jp/ja/i/iAWP7,https://find47.jp/en/i/iAWP7,https://find47.jp/ja/i/iAWP7/image_file,https://find47.jp/ja/i/iAWP7/image_file?type=thumb,朝霧橋（あさぎりばし）,Asagiribashi Kyoto,26,京都府,Kyoto,公益社団法人宇治市観光協会,Uji City Tourism Association,,,https://creativecommons.org/licenses/by/4.0/,,1183,4498,E91381574192813446,,,,,,,,,
118,8YMGa,https://find47.jp/ja/i/8YMGa,https://find47.jp/en/i/8YMGa,https://find47.jp/ja/i/8YMGa/image_file,https://find47.jp/ja/i/8YMGa/image_file?type=thumb,宇治川の鵜飼（うじがわのうかい）,Uji River Cormorant Fishing Kyoto,26,京都府,Kyoto,公益社団法人宇治市観光協会,Uji City Tourism Association,,,https://creativecommons.org/licenses/by/4.0/,,2237,6159,E91381574191543757,,,,,,,,,
199,kJZOL,https://find47.jp/ja/i/kJZOL,https://find47.jp/en/i/kJZOL,https://find47.jp/ja/i/kJZOL/image_file,https://find47.jp/ja/i/kJZOL/image_file?type=thumb,京都 清水寺,Kyoto Kiyomizu temple Kyoto,26,京都府,Kyoto,taka14,taka14,https://app.find47.jp/ja/u/xAcoR,https://app.find47.jp/en/u/xAcoR,https://creativecommons.org/licenses/by/4.0/,,2028,2671,E91381738913149653,,2016-11-19 20:00:44 +0900,0,0,,0,,,
233,uzVtI,https://find47.jp/ja/i/uzVtI,https://find47.jp/en/i/uzVtI,https://find47.jp/ja/i/uzVtI/image_file,https://find47.jp/ja/i/uzVtI/image_file?type=thumb,金閣寺,Kinkaku-ji temple in Kyoto Kyoto,26,京都府,Kyoto,YANSANSEI,YANSANSEI,https://app.find47.jp/ja/u/hgpGh,https://app.find47.jp/en/u/hgpGh,https://creativecommons.org/licenses/by/4.0/,,1399,3949,E91381761733665434,Canon Canon EOS M6,2017-11-25 14:49:29 +0900,200,1/200,0,8.0,EF-M18-150mm f/3.5-6.3 IS STM,Auto,
276,y3sfJ,https://find47.jp/ja/i/y3sfJ,https://find47.jp/en/i/y3sfJ,https://find47.jp/ja/i/y3sfJ/image_file,https://find47.jp/ja/i/y3sfJ/image_file?type=thumb,千本鳥居,senbon torii Kyoto,26,京都府,Kyoto,iku,iku,https://app.find47.jp/ja/u/CqO34,https://app.find47.jp/en/u/CqO34,https://creativecommons.org/licenses/by/4.0/,,1875,2533,E91381735336381548,Canon Canon EOS 50D,2011-10-29 10:27:28 +0900,400,1/80,0,1.4,EF50mm f/1.4 USM,Auto,
490,7fguW,https://find47.jp/ja/i/7fguW,https://find47.jp/en/i/7fguW,https://find47.jp/ja/i/7fguW/image_file,https://find47.jp/ja/i/7fguW/image_file?type=thumb,建仁寺　潮音庭,Kenninji-temple Chouontei Garden Kyoto,26,京都府,Kyoto,Yudai_photography,Yudai_photography,https://app.find47.jp/ja/u/jjFeU,https://app.find47.jp/en/u/jjFeU,https://creativecommons.org/licenses/by/4.0/,potw,1781,4930,E91381738398339829,PENTAX PENTAX K-5 II,2016-09-02 16:50:37 +0900,200,1/6,0,8.0,Sigma or Tamron Lens,Auto,30 mm
503,RJBbe,https://find47.jp/ja/i/RJBbe,https://find47.jp/en/i/RJBbe,https://find47.jp/ja/i/RJBbe/image_file,https://find47.jp/ja/i/RJBbe/image_file?type=thumb,春の宴,Cherry Tunnel Kyoto,26,京都府,Kyoto,Tomato_249,Tomato_249,https://app.find47.jp/ja/u/wY1zJ,https://app.find47.jp/en/u/wY1zJ,https://creativecommons.org/licenses/by/4.0/,,3655,5050,E91381739567341949,,,,,,,,,
561,Z7QAI,https://find47.jp/ja/i/Z7QAI,https://find47.jp/en/i/Z7QAI,https://find47.jp/ja/i/Z7QAI/image_file,https://find47.jp/ja/i/Z7QAI/image_file?type=thumb,南禅寺水路閣,Aqueduct in Nanzenji-temple Kyoto,26,京都府,Kyoto,ShozzaTrip,ShozzaTrip,https://app.find47.jp/ja/u/wIpJC,https://app.find47.jp/en/u/wIpJC,https://creativecommons.org/licenses/by/4.0/,potw,1006,4268,E91381739599965132,OLYMPUS CORPORATION E-M10MarkII,2017-01-02 13:36:46 +0900,200,1/80,0,3.5,OLYMPUS M.14-42mm F3.5-5.6 EZ,Auto,
