id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
58,Kjy4h,https://find47.jp/ja/i/Kjy4h,https://find47.jp/en/i/Kjy4h,https://find47.jp/ja/i/Kjy4h/image_file,https://find47.jp/ja/i/Kjy4h/image_file?type=thumb,姫路城,Himeji Castle Hyogo,28,兵庫県,Hyogo,姫路市,Himeji City,,,https://creativecommons.org/licenses/by/4.0/,,2132,6211,E91372658299871432,,,,,,,,,
268,BjWWX,https://find47.jp/ja/i/BjWWX,https://find47.jp/en/i/BjWWX,https://find47.jp/ja/i/BjWWX/image_file,https://find47.jp/ja/i/BjWWX/image_file?type=thumb,白鷺城,Himegi-castle Hyogo,28,兵庫県,Hyogo,iku,iku,https://app.find47.jp/ja/u/CqO34,https://app.find47.jp/en/u/CqO34,https://creativecommons.org/licenses/by/4.0/,,555,2089,E91372658535717128,Canon Canon EOS 50D,2010-03-14 09:18:40 +0900,100,1/800,0,4.5,EF-S18-200mm f/3.5-5.6 IS,Auto,
467,p3SVt,https://find47.jp/ja/i/p3SVt,https://find47.jp/en/i/p3SVt,https://find47.jp/ja/i/p3SVt/image_file,https://find47.jp/ja/i/p3SVt/image_file?type=thumb,黒滝の朝,Kurotaki morning Hyogo,28,兵庫県,Hyogo,Tomato_249,Tomato_249,https://app.find47.jp/ja/u/wY1zJ,https://app.find47.jp/en/u/wY1zJ,https://creativecommons.org/licenses/by/4.0/,,1526,4923,E91373576232119579,Canon Canon EOS 5D Mark III,2018-03-04 06:15:44 +0900,100,0.3,0,18.0,EF17-40mm f/4L USM,Manual,
793,qLMQM,https://find47.jp/ja/i/qLMQM,https://find47.jp/en/i/qLMQM,https://find47.jp/ja/i/qLMQM/image_file,https://find47.jp/ja/i/qLMQM/image_file?type=thumb,豊岡市来日岳　雲海,toyooka-Mt.kuruhi sea of clouds Hyogo,28,兵庫県,Hyogo,rikky_photography,rikky_photography,https://app.find47.jp/ja/u/CkKbQ,https://app.find47.jp/en/u/CkKbQ,https://creativecommons.org/licenses/by/4.0/,,545,2561,E91375692932816494,SONY SLT-A65V,2018-09-23 06:06:00 +0900,100,49,0,7.1,DT 16-50mm F2.8 SSM,Custom,45 mm
798,5vlzS,https://find47.jp/ja/i/5vlzS,https://find47.jp/en/i/5vlzS,https://find47.jp/ja/i/5vlzS/image_file,https://find47.jp/ja/i/5vlzS/image_file?type=thumb,淡路島の朝,Awaji Island in the morning Hyogo,28,兵庫県,Hyogo,rikky_photography,rikky_photography,https://app.find47.jp/ja/u/CkKbQ,https://app.find47.jp/en/u/CkKbQ,https://creativecommons.org/licenses/by/4.0/,potw,1208,3513,E91373122578492745,SONY SLT-A65V,2018-06-03 04:59:16 +0900,100,1/160,0,7.1,DT 16-50mm F2.8 SSM,Custom,24 mm
850,2IgOL,https://find47.jp/ja/i/2IgOL,https://find47.jp/en/i/2IgOL,https://find47.jp/ja/i/2IgOL/image_file,https://find47.jp/ja/i/2IgOL/image_file?type=thumb,養父市　天滝渓谷,Yabu tendaki(heaven waterfall) Hyogo,28,兵庫県,Hyogo,rikky_photography,rikky_photography,https://app.find47.jp/ja/u/CkKbQ,https://app.find47.jp/en/u/CkKbQ,https://creativecommons.org/licenses/by/4.0/,,399,2427,E91375348625141951,SONY SLT-A65V,2017-11-02 06:20:23 +0900,100,1/800,0,8.0,75-300mm F4.5-5.6,Auto,450 mm
851,8wnqF,https://find47.jp/ja/i/8wnqF,https://find47.jp/en/i/8wnqF,https://find47.jp/ja/i/8wnqF/image_file,https://find47.jp/ja/i/8wnqF/image_file?type=thumb,養父市　天滝渓谷,Yabu tendaki(heaven waterfall) Hyogo,28,兵庫県,Hyogo,rikky_photography,rikky_photography,https://app.find47.jp/ja/u/CkKbQ,https://app.find47.jp/en/u/CkKbQ,https://creativecommons.org/licenses/by/4.0/,,288,2366,E91375348625141951,SONY SLT-A65V,2017-11-02 06:26:36 +0900,100,15,0,22.0,DT 16-50mm F2.8 SSM,Auto,24 mm
862,CAXbA,https://find47.jp/ja/i/CAXbA,https://find47.jp/en/i/CAXbA,https://find47.jp/ja/i/CAXbA/image_file,https://find47.jp/ja/i/CAXbA/image_file?type=thumb,朝来市　竹田城跡　天空の城,Asago Sky-Castle  Hyogo,28,兵庫県,Hyogo,rikky_photography,rikky_photography,https://app.find47.jp/ja/u/CkKbQ,https://app.find47.jp/en/u/CkKbQ,https://creativecommons.org/licenses/by/4.0/,,590,2609,E91376141933848371,SONY SLT-A65V,2018-11-03 06:11:37 +0900,100,13,0,7.1,75-300mm F4.5-5.6,Auto,210 mm
892,M80L0,https://find47.jp/ja/i/M80L0,https://find47.jp/en/i/M80L0,https://find47.jp/ja/i/M80L0/image_file,https://find47.jp/ja/i/M80L0/image_file?type=thumb,城崎町　竜宮城(噴き出す雲海),kinosaki  marine-palace(Spewing sea of clouds)　 Hyogo,28,兵庫県,Hyogo,rikky_photography,rikky_photography,https://app.find47.jp/ja/u/CkKbQ,https://app.find47.jp/en/u/CkKbQ,https://creativecommons.org/licenses/by/4.0/,,274,2764,E91376477241893815,SONY SLT-A65V,2018-11-04 06:16:05 +0900,100,1.6,0,7.1,DT 16-50mm F2.8 SSM,Custom,45 mm
895,oMhlV,https://find47.jp/ja/i/oMhlV,https://find47.jp/en/i/oMhlV,https://find47.jp/ja/i/oMhlV/image_file,https://find47.jp/ja/i/oMhlV/image_file?type=thumb,豊岡市日高町　色とりどりの紅葉,Toyooka-hidaka    Colorful autumn leaves. Hyogo,28,兵庫県,Hyogo,rikky_photography,rikky_photography,https://app.find47.jp/ja/u/CkKbQ,https://app.find47.jp/en/u/CkKbQ,https://creativecommons.org/licenses/by/4.0/,,375,2537,E91375626336965273,SONY SLT-A65V,2018-11-10 16:31:31 +0900,400,1/125,0,2.8,DT 16-50mm F2.8 SSM,Auto,75 mm
